filename,condition_vision,condition_movement,trial,window_idx,window_start,window_end,var1,var2,variable_pair_type,max_mutual_info,optimal_lag_mi,n_samples,sampling_rate
NoVisionMovement_Trial0.csv,NoVision,Movement,0,2,2.0,7.0,Amplitude_Envelope_P1,Filtered_EMG_Bicep_P2,Between_Participants_Cross_Audio_EMG,0.10722920592483845,0.2,5001,1000.0
NoVisionMovement_Trial0.csv,NoVision,Movement,0,3,3.0,8.0,Amplitude_Envelope_P1,Filtered_EMG_Bicep_P2,Between_Participants_Cross_Audio_EMG,0.1174947362716839,0.2,5001,1000.0
NoVisionMovement_Trial0.csv,NoVision,Movement,0,4,4.0,9.0,Amplitude_Envelope_P1,Filtered_EMG_Bicep_P2,Between_Participants_Cross_Audio_EMG,0.12578390626858346,-0.3,5001,1000.0
NoVisionMovement_Trial0.csv,NoVision,Movement,0,5,5.0,10.0,Amplitude_Envelope_P1,Filtered_EMG_Bicep_P2,Between_Participants_Cross_Audio_EMG,0.2996284263161044,-0.3,5001,1000.0
NoVisionMovement_Trial0.csv,NoVision,Movement,0,6,6.0,11.0,Amplitude_Envelope_P1,Filtered_EMG_Bicep_P2,Between_Participants_Cross_Audio_EMG,0.39754733625890815,-0.1,5001,1000.0
NoVisionMovement_Trial0.csv,NoVision,Movement,0,7,7.0,12.0,Amplitude_Envelope_P1,Filtered_EMG_Bicep_P2,Between_Participants_Cross_Audio_EMG,0.503234094798378,-0.1,5001,1000.0
NoVisionMovement_Trial0.csv,NoVision,Movement,0,0,0.0,5.0,Amplitude_Envelope_P1,Filtered_EMG_Tricep_P2,Between_Participants_Cross_Audio_EMG,0.1752526049727609,0.3,5001,1000.0
NoVisionMovement_Trial0.csv,NoVision,Movement,0,1,1.0,6.0,Amplitude_Envelope_P1,Filtered_EMG_Tricep_P2,Between_Participants_Cross_Audio_EMG,0.2121504921999986,0.2,5001,1000.0
NoVisionMovement_Trial0.csv,NoVision,Movement,0,2,2.0,7.0,Amplitude_Envelope_P1,Filtered_EMG_Tricep_P2,Between_Participants_Cross_Audio_EMG,0.20171800147634436,0.2,5001,1000.0
NoVisionMovement_Trial0.csv,NoVision,Movement,0,3,3.0,8.0,Amplitude_Envelope_P1,Filtered_EMG_Tricep_P2,Between_Participants_Cross_Audio_EMG,0.16348077682687923,0.3,5001,1000.0
NoVisionMovement_Trial0.csv,NoVision,Movement,0,4,4.0,9.0,Amplitude_Envelope_P1,Filtered_EMG_Tricep_P2,Between_Participants_Cross_Audio_EMG,0.15469407636498117,-0.2,5001,1000.0
NoVisionMovement_Trial0.csv,NoVision,Movement,0,5,5.0,10.0,Amplitude_Envelope_P1,Filtered_EMG_Tricep_P2,Between_Participants_Cross_Audio_EMG,0.2796797846868908,-0.2,5001,1000.0
NoVisionMovement_Trial0.csv,NoVision,Movement,0,6,6.0,11.0,Amplitude_Envelope_P1,Filtered_EMG_Tricep_P2,Between_Participants_Cross_Audio_EMG,0.36659638445297305,-0.2,5001,1000.0
NoVisionMovement_Trial0.csv,NoVision,Movement,0,7,7.0,12.0,Amplitude_Envelope_P1,Filtered_EMG_Tricep_P2,Between_Participants_Cross_Audio_EMG,0.46878832514947366,-0.2,5001,1000.0
NoVisionMovement_Trial0.csv,NoVision,Movement,0,0,0.0,5.0,Amplitude_Envelope_P1,right_index_x_P2,Between_Participants_Cross_Audio_Motion,0.556190577954048,-0.3,5001,1000.0
NoVisionMovement_Trial0.csv,NoVision,Movement,0,1,1.0,6.0,Amplitude_Envelope_P1,right_index_x_P2,Between_Participants_Cross_Audio_Motion,0.6203886706561865,-0.1,5001,1000.0
NoVisionMovement_Trial0.csv,NoVision,Movement,0,2,2.0,7.0,Amplitude_Envelope_P1,right_index_x_P2,Between_Participants_Cross_Audio_Motion,0.6620265455290497,0.1,5001,1000.0
NoVisionMovement_Trial0.csv,NoVision,Movement,0,3,3.0,8.0,Amplitude_Envelope_P1,right_index_x_P2,Between_Participants_Cross_Audio_Motion,0.5453798248812084,-0.2,5001,1000.0
NoVisionMovement_Trial0.csv,NoVision,Movement,0,4,4.0,9.0,Amplitude_Envelope_P1,right_index_x_P2,Between_Participants_Cross_Audio_Motion,0.3668001796054629,0.1,5001,1000.0
NoVisionMovement_Trial0.csv,NoVision,Movement,0,5,5.0,10.0,Amplitude_Envelope_P1,right_index_x_P2,Between_Participants_Cross_Audio_Motion,0.5020577545771573,0.3,5001,1000.0
