right_hand_wrist_x,right_hand_wrist_y,right_hand_wrist_z,right_hand_thumb_cmc_x,right_hand_thumb_cmc_y,right_hand_thumb_cmc_z,right_hand_thumb_mcp_x,right_hand_thumb_mcp_y,right_hand_thumb_mcp_z,right_hand_thumb_ip_x,right_hand_thumb_ip_y,right_hand_thumb_ip_z,right_hand_thumb_tip_x,right_hand_thumb_tip_y,right_hand_thumb_tip_z,right_hand_index_finger_mcp_x,right_hand_index_finger_mcp_y,right_hand_index_finger_mcp_z,right_hand_index_finger_pip_x,right_hand_index_finger_pip_y,right_hand_index_finger_pip_z,right_hand_index_finger_dip_x,right_hand_index_finger_dip_y,right_hand_index_finger_dip_z,right_hand_index_finger_tip_x,right_hand_index_finger_tip_y,right_hand_index_finger_tip_z,right_hand_middle_finger_mcp_x,right_hand_middle_finger_mcp_y,right_hand_middle_finger_mcp_z,right_hand_middle_finger_pip_x,right_hand_middle_finger_pip_y,right_hand_middle_finger_pip_z,right_hand_middle_finger_dip_x,right_hand_middle_finger_dip_y,right_hand_middle_finger_dip_z,right_hand_middle_finger_tip_x,right_hand_middle_finger_tip_y,right_hand_middle_finger_tip_z,right_hand_ring_finger_mcp_x,right_hand_ring_finger_mcp_y,right_hand_ring_finger_mcp_z,right_hand_ring_finger_pip_x,right_hand_ring_finger_pip_y,right_hand_ring_finger_pip_z,right_hand_ring_finger_dip_x,right_hand_ring_finger_dip_y,right_hand_ring_finger_dip_z,right_hand_ring_finger_tip_x,right_hand_ring_finger_tip_y,right_hand_ring_finger_tip_z,right_hand_pinky_mcp_x,right_hand_pinky_mcp_y,right_hand_pinky_mcp_z,right_hand_pinky_pip_x,right_hand_pinky_pip_y,right_hand_pinky_pip_z,right_hand_pinky_dip_x,right_hand_pinky_dip_y,right_hand_pinky_dip_z,right_hand_pinky_tip_x,right_hand_pinky_tip_y,right_hand_pinky_tip_z
-617.6148735621541,3700.332943701931,6.666883255201141,-576.8330451199158,3695.164203611091,-2.5501444833332663,-551.5487011592601,3697.6270921647115,-28.638835482659978,-541.0746340959881,3703.1990102714863,-57.67009969235584,-531.4191488932672,3702.746232087331,-79.61453808834258,-573.0014405061164,3669.708320703882,-60.103982404523194,-552.6890043542437,3676.692742080206,-96.30627418449309,-538.2352256066793,3686.496832122337,-110.75197155241955,-530.3981067767298,3699.786312686845,-118.84429633608322,-598.6916776219559,3691.214998827617,-68.8905430291098,-577.5132675407077,3702.885882343797,-103.10565322961864,-561.2871680442172,3715.5618801990513,-115.60716705416465,-551.6085239489502,3731.123409300197,-121.30747204163555,-616.0477590630273,3709.289462308533,-72.05296019305679,-595.7903979155192,3720.3539817490587,-103.22134602027496,-579.67963977997,3729.1534444415543,-112.63294533761069,-569.7715366319036,3740.6483675350464,-117.00001608930057,-625.362646032963,3721.577599362031,-71.66308191466374,-610.1454418323999,3731.9249009254477,-98.66056626797912,-595.1040729603426,3738.031343050717,-107.95857611981053,-584.2784566259448,3746.234895337978,-112.14644591976825
-618.9457659552179,3704.2923380556495,6.979758165980971,-577.5133112905991,3696.575473306063,-2.763421629770758,-551.6776786219879,3697.6718436438223,-28.839297226167318,-540.9811592886433,3702.8117414133962,-57.317399270446764,-531.6693950002777,3702.853282929247,-78.74529621202956,-573.9977276358148,3673.1194545030526,-60.46170558776987,-554.1004202872622,3679.5551909506303,-95.87911663812585,-539.9586073730248,3689.618712946917,-110.24076102504394,-532.0865510857843,3703.013575979175,-118.26035699232649,-599.523789945455,3695.1646732882245,-68.65618803282261,-578.9441753904691,3706.1315521374618,-102.38938851780587,-562.8244394414526,3718.336335524314,-115.27011284466279,-552.6764979570138,3733.1915724335663,-121.2590675771253,-616.65841784626,3712.829407527837,-71.3351689329425,-596.9874730684172,3723.4062301754166,-102.0624939461499,-580.9749900271747,3731.641320200137,-111.60351567105558,-570.5414486558421,3741.8023033874706,-115.82930975720411,-626.0202910282852,3724.788991391257,-70.51226652749705,-611.4280800617263,3736.0322549451375,-97.06389049289629,-596.5827262516968,3741.5802098624968,-106.17130271167825,-585.4478546911268,3748.3536030628593,-110.03033333124692
-620.1441735303464,3709.3979891544404,7.325771052474675,-578.4746301972672,3698.965295107222,-2.9290388243763394,-552.1603647720912,3698.370806085611,-29.160792263141303,-541.3008062593377,3703.0224084641463,-56.82116679855909,-531.9245812297648,3702.871755707092,-77.49522094385267,-575.7318802256448,3677.8173168374387,-61.140933575464764,-556.8678309864498,3684.732170035293,-95.38429599844874,-543.0875207851009,3695.4623798321404,-109.67250057940221,-535.0797548447191,3708.7707507069954,-117.62891839689087,-600.7211694166901,3700.4182916476116,-68.26707841247692,-581.2794934169436,3711.043180571179,-101.32264150738986,-565.3363600184707,3723.0464011772865,-114.41588768183891,-554.3983924226623,3736.342825066075,-120.81113603459887,-617.2707314414896,3717.4183946857065,-70.12475559830773,-598.776559876798,3728.3584352394373,-100.11111942224427,-582.6229097376914,3735.316937154297,-109.13820176938073,-570.7857418506931,3741.395627804814,-112.79452717107486,-626.6107497043353,3729.305029398378,-68.6066911812687,-612.9432492355603,3741.8453736946904,-94.74993699142794,-598.2502202971131,3746.6085327631663,-103.22930130139912,-586.2161369161254,3750.044504895709,-106.28621814834113
-620.466814539056,3712.1883799904804,7.188288881483637,-579.1666957344438,3701.04803714929,-3.1681746558830555,-552.6868800939098,3699.2793646266114,-29.61466323627335,-541.8071725512773,3703.458001500924,-56.729998648288635,-532.0979573444947,3702.201833615298,-76.86397535072453,-576.7980716978692,3680.1328300922473,-61.73653199154898,-558.887667338809,3688.146057008668,-95.2426081153253,-545.5247410316257,3699.8669636157038,-109.63441246785152,-537.3822128709064,3712.9980043632227,-117.62266114867296,-601.3838747839916,3703.301369527509,-68.13451454619907,-582.8616950053218,3714.248369406189,-100.70703603359992,-567.1992397494389,3726.693011483402,-113.69102156766604,-555.5307993771014,3738.2021571626938,-120.37189990034244,-617.4673364828996,3720.1103533323358,-69.50324755476787,-600.095699185763,3732.5466306674743,-98.83388187770075,-583.8421577315627,3738.4463907343466,-106.96423485019292,-570.5403618967509,3739.776764444433,-110.02720426263998,-626.7181670181155,3732.399523403633,-67.64780907423507,-613.5922888108946,3745.720035692093,-93.5708180999993,-599.1330797274945,3750.217214136779,-101.41582064226965,-586.2564720656114,3750.4258799315794,-103.8792267182592
-619.827161371324,3710.9712855743924,6.424083755772132,-579.0614362768408,3701.022750648803,-3.5644388470807273,-552.7792198865344,3699.301320064195,-30.04987262844011,-541.9512725940801,3703.0586358454366,-57.1389979506207,-532.041083254132,3700.6434068779727,-77.120897278658,-576.3714056876607,3679.052521454254,-61.84706211599785,-559.0583815093446,3688.181051542499,-95.50456070860481,-545.9272473297139,3700.3669901007033,-110.16687961318297,-537.5643035770959,3713.0794036463894,-118.31820589071926,-600.9826932955027,3702.551832737746,-68.3575139557339,-583.0736102360528,3714.472213543856,-101.04334253615966,-567.5492986852161,3727.2046255603354,-113.84184625716226,-555.6030889104844,3737.7392314963963,-120.55045199307153,-617.1506356248054,3719.8962171799903,-69.96096340646302,-600.436773213453,3733.6409064565178,-99.26956611465586,-584.2994842425186,3739.8022375886603,-107.35156794828947,-570.6672370176213,3740.0723500071254,-110.7229726248218,-626.5548965633193,3732.9045488444463,-68.37631253270234,-613.5105603023593,3745.962694766006,-94.33246846951003,-599.2597157787842,3750.8611032380304,-102.30476302780625,-586.2629429171021,3750.638498815979,-105.20270206820646
-618.8974424355935,3708.0018547209957,5.538101910466958,-578.378772830378,3699.100961439894,-3.8130101035907926,-552.4957995912634,3698.569015503788,-30.028141130287782,-541.6209761521627,3702.20654896877,-57.34200456499268,-531.6728595506893,3699.6414722759037,-77.42906814621267,-575.5519836994581,3677.676657196022,-61.43094551505025,-558.1895462562867,3686.944923804102,-95.59365513669943,-544.7345978467429,3698.3812983707094,-110.39515258777828,-536.1102350401909,3710.604993690322,-118.66838751813819,-600.2564134741274,3700.985130318044,-68.62928254573316,-582.6309552827507,3713.4689982188534,-101.787036824968,-566.8940493398328,3725.783685272402,-114.59554783043386,-555.1252730318412,3736.6614705109614,-121.16395602522321,-616.6521461146245,3718.640237711237,-70.88784266078902,-599.9385613629258,3732.008429574381,-100.76126196951176,-583.9208356937451,3739.553926063018,-109.94354379611949,-571.0181892191392,3742.979601718363,-114.47860938924389,-626.1816649846647,3731.5639806688764,-69.78571023129356,-612.9825463561162,3743.895033810042,-95.9195714262753,-598.6217792981578,3749.3133421175785,-104.6786699818436,-585.9280983954299,3751.026974391398,-108.65512134998151
-618.1907035376897,3706.1614084989783,5.072305535101664,-577.7173964870756,3697.037983327008,-3.4694683161837703,-552.123171934095,3697.7468001198067,-29.160547415579266,-540.9038010637273,3701.5602918138743,-56.59247296528692,-530.9244879068763,3700.2766379679783,-76.93202852930538,-575.8628761045667,3678.5360749898623,-60.736594020902544,-557.3256329868105,3686.199298107199,-95.03012364555156,-543.0207155350247,3696.1183674501926,-109.61315384538166,-534.3073095224371,3708.242864339064,-117.7366181294193,-600.2347031938381,3701.033288657944,-68.64779706743342,-581.7540575662074,3712.082843597587,-101.89831456484714,-565.4683132745799,3723.4642999727394,-114.80901788987865,-553.9545388239437,3735.347889431243,-121.20437856123506,-616.1995355867589,3717.76191058556,-71.43358086658,-598.3134765622841,3728.7041032496045,-101.66031602751414,-582.0892136596002,3737.276576515123,-111.91110944416064,-569.8506587330126,3744.221755492263,-117.34932502150208,-625.0647292661477,3729.0230804055645,-70.5548656689428,-611.0197037736123,3740.379586250783,-96.64647294320096,-596.0903054224071,3745.786361096566,-105.9676804695255,-583.3954974838581,3749.166943404397,-110.55019947409062
-617.4923534217965,3705.3579026647744,5.116004861581731,-577.1572803790452,3695.382787261327,-2.500537350916302,-551.4525845055792,3696.031590829775,-27.551408359812722,-539.3570405561215,3699.3913394135498,-54.86933352135791,-529.372466093181,3700.10825520429,-75.51644931053504,-576.9672403126277,3679.7894425984714,-60.016398078968585,-556.3277740912878,3684.8655248696814,-94.0080718550278,-541.2179541082584,3693.7688157793514,-108.21335414434357,-532.5224673301482,3706.1515737768686,-116.04055611105746,-600.7021273911263,3701.432758934037,-68.36021563665474,-579.8324142625047,3709.225433537308,-101.00862997054327,-562.7727110116498,3719.3317846082678,-113.8369403095402,-551.2331111494359,3731.7073954022594,-120.05550485572192,-615.5335494547824,3716.6975267747034,-71.29632040816175,-595.1906591475374,3724.249850250234,-101.04706101713032,-578.4093270377994,3732.54522919367,-111.45079410786454,-566.2820563051004,3740.925498573752,-116.98067245315889,-622.8740477502873,3725.8307680955536,-70.3259976094437,-606.7668821298083,3735.291007442324,-95.88158973094298,-591.0489206273188,3740.133664256784,-105.22289852989302,-578.1284454855927,3744.193982161132,-109.76910970104882
-616.3505432113565,3703.492876170176,5.454851699432377,-576.2175612795662,3692.913217161278,-1.2785554911558346,-550.0472208488153,3692.0721660348067,-25.60834222234494,-536.6463822324945,3693.7021433621685,-52.62320863726459,-526.5476740839279,3695.4668746495877,-73.41607366587823,-576.9380535273671,3677.865985583823,-59.25825084381571,-554.3873600893991,3681.323255738815,-92.85456892211378,-538.929339959623,3690.3713006216535,-106.83783418085446,-529.9272174305164,3702.6700944846198,-114.54749502127527,-600.1870955414836,3699.26658383541,-67.72732646660353,-576.8752982030765,3704.718709056207,-99.56978149802926,-559.0720939441566,3713.556127677716,-112.05100090347429,-547.217872817477,3725.61881156349,-117.998059387191,-613.9406115971101,3714.116258242439,-70.53908235151448,-591.234021477879,3719.3806020247594,-99.32820258494205,-573.8854775644454,3726.6824135382158,-109.40416627760227,-561.7894156742195,3735.6077273131414,-114.75851243674768,-619.8389480253494,3722.5741409174207,-69.42822173929956,-601.3367061967059,3729.4727697118483,-94.26036064052202,-585.0447234161442,3733.7125884422685,-103.62530351444954,-572.2639022818026,3738.7567391596085,-108.27683882848468
-614.7932619823382,3699.5046545701935,5.883207910395038,-574.7148676055742,3688.817410079189,0.03639897417594423,-548.0484191230304,3686.4487441314836,-23.440805207869314,-533.5182602214949,3686.20602567251,-50.1337805065324,-522.7182259631038,3686.8841033668905,-70.84176859706602,-574.8406465639872,3672.469509190873,-58.09667083064111,-551.308442917378,3676.197867811516,-91.39059073380743,-535.5323844363005,3685.7883822394306,-105.18961049053746,-525.6731479588373,3697.168706915154,-112.77887829985183,-597.6084057437419,3693.434191375337,-66.5200552642574,-573.5308678461843,3699.459400503393,-97.97633714627398,-555.2526063808867,3707.677214621175,-109.9376821960571,-542.9723843910238,3719.2963251490605,-115.33384234472037,-610.7079171492092,3708.760554031848,-69.18760417892136,-587.2119910598107,3713.8093571503186,-97.35931114825041,-569.4908442628314,3720.317167472769,-107.34178731623771,-557.4804556951842,3730.1087739595177,-112.68394234617007,-615.9506895369326,3718.1563765017863,-68.15304394454674,-596.1414471548059,3723.056654012081,-92.73221140389154,-579.5549699927963,3726.7730471188247,-102.51486682619047,-567.0402471308095,3733.073188615711,-107.68288813375588
