left_hand_wrist_x,left_hand_wrist_y,left_hand_wrist_z,left_hand_thumb_cmc_x,left_hand_thumb_cmc_y,left_hand_thumb_cmc_z,left_hand_thumb_mcp_x,left_hand_thumb_mcp_y,left_hand_thumb_mcp_z,left_hand_thumb_ip_x,left_hand_thumb_ip_y,left_hand_thumb_ip_z,left_hand_thumb_tip_x,left_hand_thumb_tip_y,left_hand_thumb_tip_z,left_hand_index_finger_mcp_x,left_hand_index_finger_mcp_y,left_hand_index_finger_mcp_z,left_hand_index_finger_pip_x,left_hand_index_finger_pip_y,left_hand_index_finger_pip_z,left_hand_index_finger_dip_x,left_hand_index_finger_dip_y,left_hand_index_finger_dip_z,left_hand_index_finger_tip_x,left_hand_index_finger_tip_y,left_hand_index_finger_tip_z,left_hand_middle_finger_mcp_x,left_hand_middle_finger_mcp_y,left_hand_middle_finger_mcp_z,left_hand_middle_finger_pip_x,left_hand_middle_finger_pip_y,left_hand_middle_finger_pip_z,left_hand_middle_finger_dip_x,left_hand_middle_finger_dip_y,left_hand_middle_finger_dip_z,left_hand_middle_finger_tip_x,left_hand_middle_finger_tip_y,left_hand_middle_finger_tip_z,left_hand_ring_finger_mcp_x,left_hand_ring_finger_mcp_y,left_hand_ring_finger_mcp_z,left_hand_ring_finger_pip_x,left_hand_ring_finger_pip_y,left_hand_ring_finger_pip_z,left_hand_ring_finger_dip_x,left_hand_ring_finger_dip_y,left_hand_ring_finger_dip_z,left_hand_ring_finger_tip_x,left_hand_ring_finger_tip_y,left_hand_ring_finger_tip_z,left_hand_pinky_mcp_x,left_hand_pinky_mcp_y,left_hand_pinky_mcp_z,left_hand_pinky_pip_x,left_hand_pinky_pip_y,left_hand_pinky_pip_z,left_hand_pinky_dip_x,left_hand_pinky_dip_y,left_hand_pinky_dip_z,left_hand_pinky_tip_x,left_hand_pinky_tip_y,left_hand_pinky_tip_z
-204.58007742769934,3971.2497984910256,127.30971642081526,-217.31235136590809,3955.685882694505,98.16939601815578,-218.87330434988948,3940.965820029771,64.02925132465072,-215.23973804141548,3931.492583332399,37.47236935512768,-210.85869257155284,3930.6141207500577,22.307351529162013,-177.94547863890398,3947.6020879371486,45.36156283627296,-185.89038259198847,3947.7728181577877,3.176925923524702,-201.91396423347015,3946.833928178438,-17.3218204302686,-217.19737115333703,3946.198071143619,-28.861785859305833,-171.8551107104669,3958.254326412868,44.82061548091917,-178.99005643467123,3956.388107506098,1.7700443992664125,-195.2815608139086,3955.4143732357143,-18.974991116865972,-211.53692507895786,3954.1543241257377,-31.91087951630452,-173.392488397096,3969.0453899850027,45.25037173233589,-180.01978359409702,3964.5539980925746,4.329622640778996,-194.9155931239773,3962.7952864936296,-16.064271369657437,-209.6311874176357,3960.0317535998342,-28.778795148371067,-180.46609898308796,3978.8405209074176,46.24572950383053,-184.83665090640065,3974.5800275731062,11.690149782486081,-195.26412890794225,3970.7709974990057,-7.9868060538639165,-206.14533654058147,3967.3551134608965,-20.25524991651975
-204.6294059837058,3978.9321287634466,123.21036273336992,-218.02814947346027,3957.895924231495,95.62652638295083,-218.46930506587935,3939.331188152659,61.266530751174315,-216.66858799173153,3935.8558696493474,33.59052160252933,-217.12826632264486,3943.5599460143085,14.550428662058028,-177.03812569434453,3946.7539277834408,44.27088754062845,-184.23144540482377,3941.1206726926703,3.85514728223923,-199.55889716877266,3941.1326821893517,-16.668053314918648,-214.35379078973915,3942.4005546468447,-28.701303282826828,-172.50287532618063,3963.5282991514023,43.25914046892149,-179.96257110251787,3958.5590393867997,1.9045571132269483,-196.07519887596675,3957.1653649751947,-18.365893820555446,-212.524615721675,3957.300284486921,-31.558340026042966,-174.91969867756484,3978.0651998901903,42.853701116705885,-182.95524646500508,3973.6354695118375,3.291513960741847,-197.7082623686946,3970.997551212339,-16.15322331695528,-212.2624248960946,3969.0947825427165,-29.039423724003797,-182.17050291936442,3989.1175606155666,42.743715965135735,-188.16637770918757,3984.3764336165864,9.362700054470931,-198.18219826190955,3979.115617291154,-8.821661335727672,-208.59174740100815,3975.1059081743697,-20.626561746963755
-204.53553247590864,3982.2898531275323,119.57861037572846,-217.51499727636346,3958.9344493717745,93.72127881337349,-217.26550316227755,3937.6388821995483,60.14358046549098,-216.55777433966992,3936.1258119596882,32.48455884999735,-219.61362440185565,3948.0593190591953,11.930248268832704,-176.79011359091487,3946.6102055206884,43.09764919659761,-183.5741400383831,3938.2226728071905,4.188854528791333,-198.55621255558714,3939.0913187316132,-16.246143965402357,-213.05994586543892,3941.6246081535646,-28.610460144609842,-173.8622062166337,3966.7113755011005,41.853504943527284,-181.6297994915073,3960.545351695076,1.8117482457049428,-197.5724224853933,3959.7373920168266,-18.17098636184155,-213.97763611282156,3961.185336630333,-31.479557936270822,-177.33845484956518,3983.2878340852003,41.31659557872438,-186.11901787406697,3979.041523603348,2.8995979148613156,-200.8077668031057,3976.7593075978384,-15.970634370741804,-215.22368209389913,3975.744488016764,-28.78433490072794,-185.07181867562608,3995.0654348291637,41.158833286274636,-191.82112396435934,3990.0384763775137,8.972935942521634,-201.3829325947327,3984.486263346957,-8.24094016754676,-211.27343042826163,3980.497025993453,-19.661199251569737
-205.01341864856465,3981.983973875962,116.57295683304784,-215.63162456207328,3959.4339589902625,92.1655502178515,-214.61137972223088,3936.712571732029,60.074829583395214,-214.3993520670046,3933.1977953670403,33.57972859258622,-218.3221329788405,3944.8956698179027,13.775310929707164,-177.31116637519352,3947.457125116459,41.653803353558075,-183.9610660946951,3939.847707298283,4.080264859775832,-199.02093432558695,3941.527328518545,-16.057984046530517,-213.58688533846546,3944.628945301736,-28.399501109308503,-176.38487398103067,3967.608010589637,40.547764663784434,-184.33539419242837,3962.667281292601,1.5967150970222574,-200.24282821409102,3963.597809599644,-18.17976045559087,-216.47742128232576,3966.2056543296476,-31.324022490232178,-181.22756623966333,3983.9133737354477,40.68056695263741,-190.0463839256522,3980.6345400083105,3.3701437782005406,-204.84516856728973,3980.3231225529344,-15.106339033168226,-219.18601636439564,3980.37930847518,-27.42921201400864,-189.81062062011074,3995.3985286496954,41.61945930223903,-196.28918098173307,3990.5322692268933,10.784325612707798,-205.42411621671351,3986.3108928409233,-5.7503904041990905,-214.74626197917925,3983.1452420051683,-16.628058985010885
-206.08264069505853,3981.2290905418117,114.39771747861758,-213.8447460011981,3960.6479804201517,90.92341708251149,-211.9443442384936,3937.781699675083,59.92597814878599,-211.90671607218744,3931.0288416538424,34.690342749399775,-216.11556872422665,3940.371759507407,16.046639172278162,-178.20298018368243,3948.90421013124,40.43412977853901,-184.88815172980406,3944.305584163484,3.8853641305320523,-200.2621225983408,3946.758442933792,-15.919125149584938,-215.153623064103,3949.97927434185,-27.939527458415814,-178.84805112132193,3966.5400150203745,39.693126263395754,-186.97541769188186,3964.3683491135307,1.7264830157508868,-203.11636635224014,3967.2199526639274,-17.85299220113903,-219.33233865599667,3970.5507705891073,-30.711844762956954,-184.5876009179961,3980.444580933123,40.59513334414858,-193.35171415520395,3979.2232387211125,4.346033083800462,-208.46267769061677,3981.35678546987,-13.763573117722803,-222.84218208006848,3982.428110138689,-25.520644927630666,-193.67736571155044,3990.296394833055,42.68219243889239,-199.61187356715448,3986.2452104328863,13.030307448091467,-208.70551696319632,3984.28419859154,-2.8957790328007404,-217.72970595254063,3982.3397750345875,-13.117596936951387
-206.33922699943744,3981.018339226966,113.39677784949086,-214.002499030016,3962.4003081846226,90.78122677647598,-212.21815525153733,3940.8057056658317,59.939406343780874,-211.7881775591419,3931.499340341474,35.13888136687464,-215.26832171958938,3938.0407868503585,16.903966155008447,-178.90082052419848,3950.0389082295674,40.51781757136788,-186.00780555047297,3949.435552248108,4.160677365605164,-201.68231311281266,3952.4341280836443,-15.693168505736024,-216.76494616004314,3955.327919795534,-27.52487596274749,-178.9200048737056,3963.513101239763,40.02743906594128,-187.52439985007075,3964.259906257737,2.5355004250474433,-204.02413838723587,3967.9118367132687,-17.15200226737658,-220.30783192108814,3970.966568590826,-30.105542887040478,-183.86470142760137,3973.7215046486644,40.95165415480485,-193.02333907885816,3974.8288044322185,5.153767008871837,-208.4406466917227,3978.025349393877,-13.093440934468077,-222.87858636396743,3979.242188423799,-25.01026238651825,-192.2099950839716,3981.0447359983073,43.00780809703813,-198.2022639895395,3978.488176220955,13.557626289961114,-207.89427906658716,3978.400378890395,-2.3884481060542817,-217.25189683585057,3977.3800424288515,-12.560444286697097
-205.05840752638835,3980.4096842105896,113.37342021265562,-216.03812292565377,3963.2781973319816,91.713936498309,-215.64666023219584,3943.624342780928,60.47818822077032,-214.2829696496656,3933.2031704001865,35.41850854085009,-215.8204936971541,3937.7618199957524,17.1866183297768,-179.0213306811168,3950.0523935154174,41.99774753429933,-186.97837528546634,3952.94061234936,5.024055532274894,-202.75128578629293,3956.0683326420894,-15.38308797236052,-217.5734071689887,3958.1952111832798,-27.486318212607024,-176.35594205095066,3959.925498258081,41.44796121543539,-185.63826764625696,3962.462880698885,3.6896428426561534,-202.26714498811572,3965.534273869345,-16.618443666218496,-218.35700318511996,3967.2840062299374,-30.23660143665105,-179.10278773443244,3967.1588014529652,41.59875769619793,-188.9362596246004,3969.8051123969153,5.3044838943076424,-204.35592290331337,3972.2442807040184,-13.902105155017209,-218.6550645588856,3972.489033456529,-26.908665518004735,-185.78596927354596,3972.672408973656,42.436715898592226,-192.47898826145237,3972.0149266395683,12.011844925626637,-202.98446843981225,3972.709564334597,-5.010052986313668,-213.03348430532176,3971.9782426832544,-16.17947510442107
-203.5215994213221,3979.616049559887,113.43705031295508,-217.95976537593964,3962.805197828155,92.35059834697998,-218.85539840697112,3944.1254756457397,60.802185614366735,-216.77366001025166,3934.354545968285,35.55682763034974,-216.59859986695346,3938.8699509448675,17.59211561802733,-178.7493865578291,3949.051232232438,43.520640862823804,-187.37331402923954,3952.972189377364,6.004296552710829,-202.9990635141812,3955.9125181529917,-15.014183477111887,-217.32406746291952,3957.4101153020165,-27.593960862570047,-173.83460828797132,3958.399467475058,42.72130810171229,-183.43550710495094,3961.0472519040068,4.4714878853663365,-199.91520736690984,3963.3227589293137,-16.54830020362511,-215.62065181304808,3963.989020194389,-30.828551831404663,-174.84139105996834,3965.3966835887295,42.05998015697319,-185.056086787317,3968.683297971429,4.891680097168535,-200.25972305031743,3970.18703326584,-15.40913388057582,-214.29345692171844,3969.56305192349,-29.521357748064933,-180.367429324574,3971.395366615472,41.66596535424049,-187.71873393134084,3972.4548985332426,10.040667324972748,-198.57339238074383,3973.2107474679415,-8.368074663172393,-209.0051106858055,3972.470396942656,-20.83986920706462
-203.25468278334213,3980.1595491430776,113.00806748616981,-218.5607991414786,3962.598042052632,91.98386040441392,-219.66332980587836,3943.2266737326613,60.43404241760759,-217.64619503750282,3934.9109320379334,35.43676507078035,-217.12264078402353,3940.7124997088054,17.9672445821729,-178.7607086959408,3948.205782044012,43.96353605090423,-187.2117841201573,3950.529973461258,6.658552585614074,-202.60374250683952,3953.2994197911307,-14.585404280016213,-216.75154568091324,3954.9525929680135,-27.35103117199872,-173.66687608612241,3959.8145538374897,42.97358463893963,-182.9339926578933,3961.7461376266792,4.650895300609324,-199.3250549684121,3964.1330919931374,-16.602934182046386,-215.0046740456809,3965.228747746682,-30.89491175231071,-174.5126738375765,3968.965773345808,42.07820044050593,-184.517207356648,3972.6208014036624,4.519287085289046,-199.68363066635177,3974.4972959086535,-16.130075397599768,-213.7235587535201,3974.3908933540024,-30.463063671493966,-180.132927569754,3977.43597439762,41.37905060061386,-187.52709221386786,3979.42802399579,9.356239417075148,-198.17157534169698,3980.1202175966,-9.654079443913654,-208.5030939801385,3979.5170672287177,-22.642282177362127
-204.02470582555443,3982.3124319083313,112.41625887709006,-218.4933407940869,3964.0584162579507,91.5404598640888,-219.41224212249125,3943.304048985606,60.1426469582462,-217.97329317453048,3935.4261459472123,35.449396320656824,-217.96999115814833,3942.0681416897905,18.11940441399902,-179.36006218735082,3948.4154291417003,43.6795143292668,-186.94579831501835,3948.9719232108346,7.044092939240801,-202.2092728154557,3951.7454584195807,-14.145578733000194,-216.66215465050482,3954.0256879878643,-26.76696494442416,-175.31670017864673,3962.463867421053,42.64030572043231,-183.97557213644492,3964.398099709665,4.6841347342675155,-200.44513394417717,3967.4067733332204,-16.400601720151705,-216.57047765253688,3969.825834459758,-30.241020369315706,-176.9475780192979,3973.886187845914,41.938301347649784,-186.3372145759405,3978.0073821771102,4.684509742738845,-201.63533972416894,3980.8264396941795,-15.675042926775152,-216.0098074623534,3981.962394665809,-29.59152187452081,-183.30658644256832,3984.8569310093244,41.65212172484797,-190.1213955047846,3986.8319680803593,10.059000442582786,-200.35046597385474,3987.302761178901,-8.70808298233829,-210.44733827872844,3986.7821193765494,-21.35213956888278
