Time,Filtered_ECG
7002.290646201936,-0.00015851650852949172
7002.291645973858,-0.00025402890436630477
7002.292645745781,-0.00034984215687670916
7002.293645517704,-0.00044593667297802115
7002.294645289627,-0.0005422925958025057
7002.295645061549,-0.0006388898085026292
7002.296644833472,-0.0007357079381793275
7002.297644605394,-0.0008327263599325634
7002.298644377317,-0.000929924201033337
7002.2996441492405,-0.001027280345216195
7002.300643921163,-0.001124773437091164
7002.301643693086,-0.0012223818866739032
7002.302643465008,-0.0013200838740327582
7002.303643236932,-0.0014178573540512694
7002.304643008854,-0.0015156800613045863
7002.305642780777,-0.001613529515048136
7002.3066425527,-0.0017113830243168046
7002.307642324622,-0.0018092176931328102
7002.308642096545,-0.0019070104258203694
7002.309641868468,-0.0020047379324252064
7002.310641640391,-0.002102376734236896
7002.311641412313,-0.002199903169412
7002.312641184236,-0.0022972933986959306
7002.313640956158,-0.0023945234112414567
7002.314640728082,-0.0024915690305217673
7002.3156405000045,-0.0025884059203360116
7002.316640271927,-0.002685009590905248
7002.31764004385,-0.002781355405056773
7002.318639815772,-0.0028774185844948267
7002.319639587695,-0.0029731742161557173
7002.320639359618,-0.0030685972586454455
7002.321639131541,-0.003163662548757967
7002.322638903464,-0.003258344808072255
7002.323638675386,-0.0033526186496263643
7002.32463844731,-0.0034464585846666752
7002.325638219232,-0.0035398390294704976
7002.326637991155,-0.003632734312240156
7002.327637763077,-0.0037251186800666704
7002.328637535,-0.003816966305961098
7002.329637306922,-0.003908251295951618
7002.330637078846,-0.003998947696244459
7002.3316368507685,-0.004089029500446774
7002.332636622691,-0.004178470656849625
7002.333636394614,-0.004267245075769259
7002.334636166536,-0.004355326636944931
7002.33563593846,-0.004442689196991553
7002.336635710382,-0.00452930659690552
7002.337635482305,-0.004615152669622114
7002.338635254228,-0.004700201247622922
7002.33963502615,-0.004784426170591728
7002.340634798073,-0.004867801293117305
7002.341634569996,-0.004950300492441581
7002.342634341919,-0.0050318976762515335
7002.343634113841,-0.005112566790513161
7002.344633885764,-0.005192281827345761
7002.345633657686,-0.005271016832934743
7002.34663342961,-0.005348745915481158
7002.3476332015325,-0.005425443253186216
7002.348632973455,-0.005501083102269155
7002.349632745378,-0.005575639805017042
7002.3506325173,-0.005649087797865346
7002.351632289223,-0.005721401619508374
7002.352632061146,-0.005792555919038867
7002.353631833069,-0.005862525464116123
7002.354631604992,-0.005931285149161936
7002.355631376914,-0.00599881000358345
7002.356631148838,-0.006065075200021782
7002.35763092076,-0.006130056062624995
7002.358630692683,-0.006193728075343765
7002.359630464605,-0.006256066890247944
7002.360630236528,-0.00631704833586207
7002.36163000845,-0.0063766484255178574
7002.362629780374,-0.006434843365721659
7002.3636295522965,-0.006491609564535017
7002.364629324219,-0.0065469236399664215
7002.365629096142,-0.006600762428372459
7002.366628868064,-0.0066531029928665825
7002.367628639988,-0.00670392263173369
7002.36862841191,-0.006753198886848556
7002.369628183833,-0.006800909552096097
7002.370627955756,-0.0068470326817912375
7002.371627727678,-0.0068915465990960325
7002.372627499601,-0.0069344299044316075
7002.373627271524,-0.006975661483882403
7002.374627043447,-0.007015220517590228
7002.375626815369,-0.007053086488135609
7002.376626587292,-0.007089239188903952
7002.377626359215,-0.007123658732434006
7002.378626131138,-0.007156325558746098
7002.3796259030605,-0.007187220443647539
7002.380625674983,-0.00721632450701259
7002.381625446906,-0.007243619221034305
7002.382625218828,-0.0072690864184456385
7002.383624990752,-0.0072927083007072345
7002.384624762674,-0.007314467446159444
7002.385624534597,-0.007334346818136221
7002.38662430652,-0.007352329773038699
7002.387624078442,-0.007368400068366366
7002.388623850366,-0.007382541870703757
7002.389623622288,-0.007394739763660575
7002.390623394211,-0.007404978755762994
7002.391623166133,-0.007413244288293776
7002.392622938056,-0.007419522243078615
7002.393622709978,-0.007423798950215934
7002.394622481902,-0.007426061195747186
7002.3956222538245,-0.0074262962292645325
7002.396622025747,-0.007424491771452646
7002.39762179767,-0.007420636021561263
7002.398621569592,-0.007414717664805085
7002.399621341516,-0.007406725879687607
7002.400621113438,-0.007396650345245493
7002.401620885361,-0.007384481248210215
7002.402620657284,-0.007370209290083762
7002.403620429206,-0.007353825694125406
7002.404620201129,-0.007335322212246672
7002.405619973052,-0.007314691131811872
7002.406619744975,-0.0072919252823418065
7002.407619516897,-0.0072670180421183775
7002.40861928882,-0.007239963344688069
7002.409619060743,-0.00721075568526237
7002.410618832666,-0.007179390127013307
7002.4116186045885,-0.007145862307262333
7002.412618376511,-0.007110168443560793
7002.413618148434,-0.007072305339660086
7002.414617920356,-0.00703227039136956
7002.41561769228,-0.006990061592300018
7002.416617464202,-0.00694567753949053
7002.417617236125,-0.006899117438916143
7002.418617008048,-0.00685038111087391
7002.41961677997,-0.006799468995244557
7002.4206165518935,-0.006746382156627062
7002.421616323816,-0.006691122289343399
7002.422616095739,-0.006633691722310809
7002.423615867661,-0.006574093423779037
7002.424615639584,-0.006512331005930165
7002.425615411506,-0.0064484087293387475
7002.42661518343,-0.006382331507290043
7002.4276149553525,-0.0063141049099541815
7002.428614727275,-0.006243735168414063
7002.429614499198,-0.006171229178544688
7002.43061427112,-0.006096594504741471
7002.431614043044,-0.00601983938349493
7002.432613814966,-0.00594097272680893
7002.433613586889,-0.0058600041254594625
7002.434613358812,-0.005776943852090747
7002.435613130734,-0.005691802864145261
7002.436612902657,-0.005604592806624162
7002.43761267458,-0.005515326014674409
7002.438612446503,-0.005424015515998864
7002.439612218425,-0.005330675033085562
7002.440611990348,-0.005235318985252385
7002.441611762271,-0.005137962490503377
