nose_x,nose_y,nose_z,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_x,left_eye_y,left_eye_z,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_x,right_eye_y,right_eye_z,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,left_ear_x,left_ear_y,left_ear_z,right_ear_x,right_ear_y,right_ear_z,mouth_left_x,mouth_left_y,mouth_left_z,mouth_right_x,mouth_right_y,mouth_right_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_x,right_elbow_y,right_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_pinky_x,left_pinky_y,left_pinky_z,right_pinky_x,right_pinky_y,right_pinky_z,left_index_x,left_index_y,left_index_z,right_index_x,right_index_y,right_index_z,left_thumb_x,left_thumb_y,left_thumb_z,right_thumb_x,right_thumb_y,right_thumb_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z,left_heel_x,left_heel_y,left_heel_z,right_heel_x,right_heel_y,right_heel_z,left_foot_index_x,left_foot_index_y,left_foot_index_z,right_foot_index_x,right_foot_index_y,right_foot_index_z
-391.21099110641273,3583.317939474476,761.2376443396132,-403.71515130016166,3609.588278199844,799.9338159416119,-405.08300869930645,3625.8106846278147,803.4539708133759,-405.98443072950454,3641.0381039190024,806.853839763382,-411.2820428007175,3562.139556255985,791.5022942259669,-418.10194447160484,3550.2390251440165,789.8319720698407,-427.9453600559423,3539.409874556521,788.3477062559401,-462.23811822877946,3694.933105793673,806.4312768616072,-492.0362560395716,3563.536332792272,782.2289547114897,-409.9083533450249,3633.76994898752,737.9179998144459,-416.3321322260949,3583.343628913548,729.6293462940719,-386.3825036391633,3835.256663542916,631.3948606656301,-667.578166049021,3656.56043305026,546.8186758963645,-322.9006403028202,3938.6551735748253,365.15565547014495,-704.4805685701052,3719.8030080330277,263.4004586440678,-245.717639976106,3941.936842729532,116.39697807017853,-636.0589501237299,3708.6969597876514,8.852145129544846,-233.46927351243778,3960.0426817185084,34.36868901708221,-624.6327555254954,3708.3314885393434,-64.38958573140134,-237.048740449924,3926.7997729349077,36.75446718278714,-584.6431941454003,3683.6451864859055,-54.359301198999454,-248.4289146391659,3912.7465011342942,59.74587409612281,-580.6592381210743,3692.0489060718483,-29.56827074034789,-396.44365197484865,3921.1603407729567,74.41468262300474,-552.5712715978436,3812.888128822697,47.21306510973413,-422.2065430636976,4049.34974225601,-272.63904226636697,-556.0151878617175,3999.865205165075,-302.45028273424833,-467.64623213032985,4199.021129359181,-608.6592499493231,-564.5610539274843,4190.613163873341,-633.9206383238305,-505.70679633014333,4271.460861899794,-655.1045208089145,-578.5091979114231,4266.031607270865,-677.7786822061735,-378.9298650809462,4118.599232173207,-732.7759076156858,-517.3201130094792,4060.146057182147,-770.2136602085359
-392.61291116698874,3585.0350194756425,761.9032001972611,-404.40164384734373,3609.5157845447875,800.0352813289222,-405.0627621253203,3624.777618515252,803.4455588531882,-405.3948600552244,3638.9221171593,806.6991071291359,-413.3049532382739,3564.241445893336,792.074867938561,-420.38405927006073,3552.2709747478843,790.409713745266,-430.51109033725754,3542.147759406038,789.125889735295,-460.6470412823461,3691.7514277882515,805.7889146982809,-493.1044422627682,3564.7211629571334,782.9450178986258,-410.6743783158281,3633.7500921743685,737.8749216885315,-417.1400399753066,3583.242074627937,730.125971681152,-387.61606309290363,3835.587937412186,631.4759716004469,-666.5205604187082,3654.778910629894,546.5940169530787,-322.6644338777269,3937.646087619987,365.3171749639592,-704.2000415890047,3719.1041581621034,263.53087655594516,-246.0681612092448,3941.701965309759,115.32894807800237,-635.8253665675925,3708.4065813909397,9.55550000393833,-233.89707875123983,3959.9385476451307,34.28631525399423,-625.0220570720144,3708.8131158957153,-64.36659166228887,-237.80908149454305,3928.4278012798727,36.59523567478744,-585.07908573799,3684.4853581561943,-53.92984469843846,-249.6958581567929,3915.217865522177,59.96721543319941,-580.5869011629424,3691.9131854024813,-28.80032568413241,-398.16859646355937,3921.014831071988,76.63053145997091,-556.3526561767288,3817.1147719555647,48.93027189403454,-424.1955915160276,4051.258788181471,-272.84296834489703,-556.0466996825007,3998.813281838621,-302.55079070049317,-470.58218035143574,4206.161096845546,-609.9632231051161,-561.2705717231653,4182.010433413961,-632.8180718024526,-508.9022728711235,4278.412673769349,-658.1979745453336,-578.5360623838742,4261.287979875301,-679.0769150853595,-377.29699062002487,4113.562769849388,-731.5725950197011,-511.0649466647302,4052.7620772269684,-767.0554918694994
-393.72757374327335,3586.4409891895216,762.438975393596,-404.95383157328075,3609.7266467406057,800.1455544457451,-405.0781545531895,3624.256948317695,803.4853833405407,-404.98037419890056,3637.6104084531144,806.6460335170905,-414.88209524014775,3565.9181568933363,792.4959079110357,-422.156236936577,3553.8712062569084,790.8565219232551,-432.4452581149548,3544.240499976903,789.7187720066062,-459.4484483002502,3689.715529432612,805.3986131632216,-493.90343614616813,3565.590541472755,783.5411173376474,-411.304779720552,3633.9578852116956,737.87491908444,-417.8628677167554,3583.259646017493,730.4720999664682,-388.88803948122376,3836.2631091989183,631.6568370166207,-665.8167612160456,3653.4793238594716,546.4128756266032,-322.48853184968505,3936.8272908416793,365.5484408444868,-703.9102247743548,3718.3826529477265,263.62152892983266,-246.3453154457125,3941.382301955977,114.55564148550312,-635.6383628591751,3708.4825418183973,9.95497366656582,-234.15061147021447,3959.9430080387247,34.26489023493768,-625.2310853045999,3709.1026634092486,-64.4760898283297,-238.27759956968993,3929.59942193909,36.397197559599164,-585.3550869162127,3685.1242587488514,-53.68087959474817,-250.43364177831305,3916.752498493118,60.04685026292946,-580.5267268979004,3691.9559719011113,-28.25911923059519,-399.4945659823169,3921.126544815575,78.47444846186039,-558.9038540366986,3820.463262185398,50.39748553432242,-425.8033599516801,4052.9432517233404,-272.9279854883312,-555.8094317084675,3997.6416300960836,-302.7107277116384,-472.5183581436801,4211.295816730298,-610.8654650424289,-559.0693020205083,4175.474709913104,-632.1263993199705,-510.6549662903698,4282.715316856246,-660.1403582549877,-578.5013202780451,4256.5921874550895,-679.7773823356423,-375.88101037623636,4109.564157747132,-730.5137820280152,-506.88101698089423,4048.2805456597025,-765.0511761301793
-394.4867368676226,3587.4503779478728,762.7600505699302,-405.3304744816928,3610.145553331185,800.2389454423644,-405.12398118216174,3624.2349890582154,803.5527660544404,-404.7506374211136,3637.1302861667637,806.6752143979425,-415.89120504566586,3567.0457444682966,792.7270961889787,-423.29496209941703,3554.9467649095795,791.1245088829012,-433.63883600681766,3545.5941436629137,790.0735117342431,-458.66441469583935,3688.8913706313974,805.2615230199032,-494.3826928573837,3566.1161583452554,783.9759761142548,-411.752157296062,3634.3153962874053,737.8577970278147,-418.4181491520662,3583.3556477767033,730.5680238769592,-390.09543413635936,3837.1211091194914,631.9326673902209,-665.4509230824344,3652.709937356432,546.293915692462,-322.3763249034002,3936.234405560133,365.8586266489428,-703.6717053685821,3717.7952265551594,263.6042756937296,-246.52506594148153,3941.0720094204516,114.16395439810685,-635.5536097159467,3708.938818069294,10.07375041659191,-234.23367146251405,3960.054400040921,34.29983932615052,-625.2896826235261,3709.2293574326786,-64.65049227328547,-238.45410054404647,3930.3461347847315,36.19127478334327,-585.49296759085,3685.584533349515,-53.59183951487187,-250.64555992653487,3917.366860878124,60.00314300622744,-580.4855682164995,3692.1288913285534,-27.920202635351423,-400.3419304493053,3921.489889071713,79.72386305071443,-560.0559633737158,3822.4890645975656,51.43381293616422,-426.9869856600864,4054.3576634645588,-273.05440494673,-555.5276940152082,3996.817052880832,-303.14376200326205,-473.4537227916608,4214.113206583169,-611.3195966904036,-558.1609714917453,4171.680469955641,-631.8735703019863,-511.18816040444915,4284.50011767913,-660.9562253680091,-578.4338438925448,4252.569301032718,-679.8077893035538,-374.8538395388865,4106.962257385424,-729.6622771495298,-504.9571832391364,4046.6802052494318,-764.2649114956604
-394.9919784544213,3588.150916666523,762.858550919953,-405.5723848818092,3610.486505122686,800.2747837481463,-405.16672939338014,3624.33737333361,803.5862245821186,-404.6027741412832,3636.962163426394,806.6919559385772,-416.50829078025544,3567.763689079934,792.8197453097042,-424.0147218752079,3555.6665327655473,791.2388537994705,-434.38934608088243,3546.5027661838935,790.2432237214747,-458.0728935161187,3688.562351542043,805.1973398973524,-494.6786290026292,3566.4896375373655,784.2700515067232,-412.0376020806926,3634.569464231247,737.7263017512636,-418.78757944566513,3583.4134329532812,730.424039300452,-391.05307853060765,3837.699574963075,632.1688178217895,-665.1597360346611,3652.1806969370095,546.2156955490822,-322.2946153567379,3935.8050462448555,366.14842792418176,-703.5459515452484,3717.5142557588956,263.4650230988767,-246.62345133207845,3940.9226779244373,114.00046153900996,-635.5686603220151,3709.473543288511,10.169387455517118,-234.25882828582988,3960.192334079177,34.325200954703526,-625.3439323302465,3709.311292137186,-64.68643024297278,-238.5432758354233,3931.0093347552106,36.0296175767906,-585.5995012752342,3685.981540516047,-53.509092293105475,-250.70434826803347,3917.754927348401,59.94233389982931,-580.4431471767184,3692.252108982566,-27.589674302810607,-400.85165776362044,3921.801990814648,80.47332039590904,-560.4736205684791,3823.2799349984984,52.09142188973108,-427.89034242896514,4055.483531004983,-273.2916134308994,-555.5533429765636,3996.7026685316696,-303.82418495893364,-473.94169492667413,4215.380715716294,-611.4458555274682,-557.9484086874164,4169.802531720909,-631.7661235945366,-511.4455196631071,4285.18329540139,-661.2906070895616,-578.302260445914,4249.785311154316,-679.518516293595,-374.2194783832492,4105.269204264892,-728.872856324297,-504.0674391484283,4046.002456436326,-763.9253160546383
-395.3298469314919,3588.61133451265,762.8201750256881,-405.7306489970377,3610.6146532980615,800.254281490296,-405.1870993272372,3624.3253300311653,803.5715677261379,-404.47266989636375,3636.7489155334856,806.6630457469697,-416.9518246314472,3568.232247748623,792.8374049393628,-424.55375257458434,3556.1727168180455,791.2545842151095,-434.95589649576954,3547.160009489395,790.2987992542686,-457.55541478133216,3688.2148888195557,805.0904802670628,-494.9217983712455,3566.8425682230663,784.4577814142876,-412.19315031932837,3634.6122524626826,737.4973970572358,-419.0440706406856,3583.4069104095465,730.1789103107652,-391.6676681527872,3837.822969885735,632.2036458334779,-664.7933474614865,3651.6674776167356,546.1480517274605,-322.21921291123846,3935.474188849309,366.305202655374,-703.5023508028945,3717.5007761583965,263.3398929671922,-246.6727823224475,3940.8806089190794,113.86524082504106,-635.6206692355157,3709.900171131636,10.392553524389704,-234.2887053639063,3960.2733402183517,34.30758154241574,-625.4509453866207,3709.36922969966,-64.48032754528909,-238.6793777371809,3931.724015815448,35.92359064273497,-585.6971065953121,3686.356812332041,-53.35072089563816,-250.84611536051275,3918.333610453155,59.91291026864469,-580.377958513671,3692.35007732675,-27.17987180767291,-401.1515190561669,3921.7913247263464,81.08941880029892,-560.7864077527773,3823.3704068742345,52.66278912332525,-428.5370572478786,4056.143442958996,-273.27337049947636,-555.844696942607,3996.877273831455,-304.2593923047795,-474.1535281879651,4215.638103820223,-611.2753135877438,-557.8204288009645,4168.54439159246,-631.5527059927579,-511.3483139561755,4284.928943835786,-661.3333839371808,-577.8489369618725,4247.802682747771,-679.161686997933,-373.8434347333855,4103.819561751825,-727.965332777814,-503.3712293877319,4045.253051820068,-763.4624566044887
-395.51639993968917,3588.8437242377613,762.7858016480907,-405.8274136371646,3610.6055660634215,800.2336967449338,-405.1914960489748,3624.230816672598,803.5666393449288,-404.3642050415324,3636.4927762735533,806.6515017068757,-417.31480113785415,3568.521044128835,792.8343741267003,-424.9973913574652,3556.499262329982,791.2427885883899,-435.39041859694817,3547.5672178786153,790.3098082640323,-457.16968415705,3687.859757091516,804.9792133865501,-495.13398831029303,3567.146704187555,784.5904969989998,-412.250525815776,3634.5359599707763,737.3096404396631,-419.26164285785893,3583.388747321047,730.009003935051,-392.0086213198668,3837.760601721413,632.0088874708327,-664.4185371239745,3651.190980874485,546.1071930251561,-322.14393717412173,3935.1586279276216,366.3762635202194,-703.465718373869,3717.593588917412,263.42367825732373,-246.7184845268771,3940.719563159084,113.70909843342201,-635.6794096671568,3710.3866388691977,10.6589792482255,-234.3142164278494,3960.238206900335,34.3110071288787,-625.567524491944,3709.4026275118194,-64.13330886097744,-238.84432763663636,3932.3081544912734,35.86721852884439,-585.7541888681454,3686.762266508814,-53.166187970518386,-251.0264208791395,3918.9198122715334,59.904176776762235,-580.3226856881224,3692.72969074546,-26.795691488617273,-401.35477751633374,3921.5669441595246,81.8632024881532,-561.2446164223992,3823.4868082982857,53.39069605505439,-428.8646622432514,4056.1900142165778,-272.6564877763968,-556.1242176135734,3996.743358862741,-304.05213503316634,-473.9390028131639,4215.3236324633035,-610.9140953715993,-557.6306896511527,4167.191114014567,-631.2514030958367,-510.2022425093169,4283.446314964351,-660.9875889421844,-576.8365822967252,4245.659332262787,-678.7225821247191,-373.6349084789145,4102.572456728113,-727.0838982471291,-502.9912226262497,4044.9577711094703,-762.9331997174137
-395.57251794967766,3588.912450248207,762.8503266260461,-405.8693228795858,3610.5590646658393,800.2663242949496,-405.1906376086494,3624.144365689295,803.6309659265559,-404.28220453012415,3636.2749761666655,806.7237526847103,-417.58514200948116,3568.677587557246,792.8548281388355,-425.3282213702679,3556.6945162998936,791.2682284876142,-435.6750284618464,3547.782582510043,790.34850413782,-456.98439984363694,3687.655377412469,804.9438074928589,-495.29009624484274,3567.3696178907285,784.7469655398152,-412.2437393355348,3634.4463240226078,737.2641689192127,-419.42046560645355,3583.3644943784666,729.9831340870006,-392.234812843024,3837.8453333538628,631.73793702493,-664.1592391069636,3650.876024751361,546.1510018768056,-322.07914543190435,3934.7879223032705,366.53171683750566,-703.4303840512895,3717.739298814705,263.74170200680715,-246.79661046026155,3940.3835918630157,113.58506195092978,-635.7714692879113,3711.13026232183,10.820441888958143,-234.30367998233152,3960.0776765097858,34.41338563707873,-625.6679309852923,3709.495096152486,-63.826471743633114,-238.98580246947768,3932.616134856511,35.86432694601628,-585.7990008165588,3687.307065599821,-53.033677006364265,-251.1516953760374,3919.230085002469,59.91283453121967,-580.3462726615619,3693.5846535591927,-26.560330300351833,-401.62102075365544,3921.490943581746,82.72001471568612,-561.8460767087747,3823.9830044383066,54.21568247441389,-428.94611781501624,4055.8316353000027,-271.7284896766195,-556.2845268204751,3996.3374337453774,-303.45600374768,-473.4217365443769,4215.168134016928,-610.6614730424855,-557.4857825902423,4165.806741602574,-631.0601204086971,-508.26594164446396,4281.723525472301,-660.547513281078,-575.4732752653929,4243.187705914063,-678.2494856452447,-373.57077678416454,4101.931611103247,-726.5864187794381,-503.11407541901644,4045.445495904336,-762.6165540940235
-395.56240163288635,3588.9517704420264,762.9992261032545,-405.87393884224247,3610.5069020640963,800.3502530084071,-405.1897226228291,3624.0788178453113,803.7602412228396,-404.217396277534,3636.095316508168,806.8736448877551,-417.7473772655379,3568.777172230585,792.9108033155675,-425.5399845632197,3556.8634910624296,791.3479283161904,-435.8491585803725,3547.9930734577497,790.4527058460748,-456.98106684364603,3687.6049052503618,804.9978252228715,-495.4137291646253,3567.5979845843062,784.9880114384697,-412.19805097289725,3634.3573438006883,737.3262084222442,-419.4570124882835,3583.281175678955,730.0298555370446,-392.4869648371256,3838.161062149084,631.5885691647418,-664.0665762453575,3650.773544472271,546.3073259712738,-322.04798397921746,3934.392340335952,366.8203121166437,-703.4481323501946,3717.987466019524,264.1001402023803,-246.89332396499222,3940.104240886204,113.48375853967332,-635.9143539497538,3712.0058622585893,10.831964069909985,-234.20412686809732,3959.831251250094,34.58624323016745,-625.7718689077275,3709.7087813869884,-63.65763818597571,-239.09699674142868,3932.77193525072,35.902101634294894,-585.8972852845093,3687.9829653849247,-52.97518752004945,-251.23817739325816,3919.330660708046,59.942673719623926,-580.4761386412232,3694.663731646339,-26.466732679620826,-402.04341357636935,3921.7475181488066,83.34404432063309,-562.4376087146111,3824.5224341738503,54.88498174273346,-428.98959039749815,4055.5662823430653,-271.13708845799783,-556.3958327934604,3996.060360743155,-303.0371691730121,-472.95090692541794,4215.46047596116,-610.6834753067109,-557.3708491704482,4164.6258974403845,-631.1077215405973,-506.65468398944785,4280.960566391735,-660.4444445115444,-574.2769999745883,4241.0189497819265,-677.9975206850768,-373.5807970422341,4101.906116732848,-726.5377775161394,-503.4194406304437,4046.0904689260165,-762.5880467295735
-395.55108218703174,3589.0477610394582,763.1584800312712,-405.87029207880636,3610.458953018627,800.4451644391208,-405.1953792454923,3624.019866279926,803.9028771659865,-404.1775397466553,3635.9490976700185,807.0443669459436,-417.84055364889866,3568.8778740889657,792.9805079704402,-425.68178420101447,3557.07008717379,791.4500142222132,-435.994196704427,3548.3160476261314,790.5988446430091,-457.07799376931007,3687.6259816292777,805.1011976783467,-495.5730358808546,3567.9460202850446,785.3002856077311,-412.1363493341692,3634.261529621603,737.4053030625637,-419.3977828690353,3583.143057213212,730.0581394837317,-392.81242416510196,3838.612384246077,631.6186726564196,-664.1088809925778,3650.820860633186,546.5341677243945,-322.049263616606,3934.0056770196975,367.10765581027835,-703.4828997645134,3718.2739669610546,264.31290758012074,-246.9582840345778,3940.048950702238,113.36244600856938,-636.0612228387743,3712.7082315376742,10.762613484938045,-233.96949928598616,3959.516155750394,34.73478317045389,-625.885077744336,3709.9708545170924,-63.59998036093965,-239.18523496850676,3932.9695725439838,35.94919079424234,-586.0432525705716,3688.588869633397,-52.95763410194673,-251.336676070278,3919.473487277691,59.990121205279465,-580.6517503472077,3695.5167251067014,-26.42015282964793,-402.52470926260463,3922.2101178831977,83.5860640466154,-562.8587879245401,3824.708197274848,55.269953665572814,-429.1271808471656,4055.728449290511,-271.1136759099401,-556.5049673001485,3995.9814481825642,-302.9817957778289,-472.6592060632376,4215.663980003452,-610.7944869236638,-557.1439115021611,4163.553776436515,-631.3014269155238,-505.9320076657095,4280.99813046637,-660.6507515789041,-573.4700734325337,4239.410330171609,-678.0834927210662,-373.57744835887263,4101.961877502745,-726.619370340841,-503.5363751353944,4046.2968955944384,-762.6892333037716
