Time,Filtered_Respiration
6908.344078164898,-0.9789219052839367
6908.34507793682,-0.9832470785339451
6908.346077708743,-0.9875502911309817
6908.347077480666,-0.991831610115859
6908.348077252588,-0.9960911028694427
6908.349077024512,-1.000328837109762
6908.350076796434,-1.00454488088911
6908.351076568357,-1.008739302591133
6908.352076340279,-1.012912170927911
6908.353076112202,-1.0170635549370233
6908.354075884125,-1.0211935239786079
6908.355075656048,-1.025302147732409
6908.356075427971,-1.0293894961948147
6908.357075199893,-1.0334556396758845
6908.358074971816,-1.0375006487963652
6908.359074743739,-1.0415245944846991
6908.360074515662,-1.0455275479740211
6908.361074287584,-1.0495095807991452
6908.362074059507,-1.0534707647935428
6908.36307383143,-1.057411172086312
6908.364073603352,-1.0613308750991362
6908.365073375276,-1.0652299465432338
6908.366073147198,-1.0691084594162965
6908.367072919121,-1.0729664869994213
6908.368072691043,-1.0768041028540318
6908.369072462966,-1.0806213808187914
6908.370072234889,-1.0844183950065076
6908.371072006812,-1.0881952198010265
6908.372071778735,-1.0919519298541198
6908.373071550657,-1.0956886000823625
6908.37407132258,-1.0994053056640023
6908.375071094502,-1.1031021220358206
6908.376070866426,-1.1067791248899843
6908.377070638348,-1.110436390170891
6908.378070410271,-1.1140739940720044
6908.379070182194,-1.1176920130326817
6908.380069954117,-1.1212905237349946
6908.38106972604,-1.1248696031005418
6908.382069497962,-1.128429328287253
6908.383069269885,-1.1319697766861863
6908.384069041807,-1.1354910259183162
6908.38506881373,-1.138993153831318
6908.386068585653,-1.1424762384963403
6908.387068357576,-1.1459403582047725
6908.388068129499,-1.1493855914650055
6908.389067901421,-1.1528120169991845
6908.390067673344,-1.1562197137399546
6908.391067445267,-1.1596087608271994
6908.39206721719,-1.162979237604774
6908.393066989112,-1.1663312236172312
6908.394066761035,-1.1696647986065405
6908.395066532958,-1.1729800425088008
6908.39606630488,-1.1762770354509466
6908.397066076804,-1.1795558577474483
6908.398065848726,-1.1828165898970064
6908.399065620649,-1.1860593125792405
6908.400065392571,-1.1892841066513697
6908.401065164494,-1.19249105314489
6908.402064936417,-1.1956802332622443
6908.40306470834,-1.1988517283734872
6908.404064480263,-1.2020056200129445
6908.405064252185,-1.205141989875867
6908.406064024108,-1.2082609198150782
6908.40706379603,-1.2113624918376185
6908.408063567954,-1.2144467881013825
6908.409063339876,-1.217513890911754
6908.410063111799,-1.2205638827182326
6908.411062883722,-1.2235968461110573
6908.412062655645,-1.226612863817826
6908.413062427568,-1.2296120187001085
6908.41406219949,-1.2325943937500572
6908.415061971413,-1.2355600720870117
