Time,Filtered_Respiration
6604.757982066279,-0.47316370624335913
6604.758981838494,-0.4725865050620486
6604.7599816107095,-0.4720066494366877
6604.760981382924,-0.4714241382161912
6604.761981155139,-0.47083897029462407
6604.762980927355,-0.47025114461127826
6604.76398069957,-0.46966066015074914
6604.764980471786,-0.46906751594300955
6604.765980244001,-0.46847171106348307
6604.766980016216,-0.4678732446331153
6604.767979788431,-0.4672721158184443
6604.768979560647,-0.46666832383166934
6604.769979332862,-0.46606186793071824
6604.7709791050775,-0.4654527474193133
6604.771978877292,-0.4648409616470355
6604.772978649507,-0.4642265100093876
6604.773978421723,-0.46360939194785583
6604.774978193938,-0.4629896069499703
6604.775977966154,-0.46236715454936345
6604.776977738369,-0.4617420343258271
6604.777977510584,-0.4611142459053685
6604.778977282799,-0.46048378896026504
6604.779977055015,-0.45985066320911744
6604.78097682723,-0.45921486841690096
6604.781976599445,-0.4585764043950159
6604.78297637166,-0.45793527100133613
6604.783976143875,-0.4572914681402561
6604.784975916091,-0.4566449957627366
6604.785975688306,-0.4559958538663496
6604.786975460522,-0.4553440424953215
6604.787975232737,-0.454689561740574
6604.788975004952,-0.45403241173976405
6604.789974777167,-0.4533725926773231
6604.790974549383,-0.4527101047844943
6604.791974321598,-0.452044948339368
6604.792974093813,-0.45137712366691585
6604.793973866028,-0.45070663113902387
6604.794973638243,-0.4500334711745238
6604.795973410459,-0.44935764423922336
6604.796973182674,-0.4486791508459349
6604.79797295489,-0.44799799155450204
6604.798972727105,-0.4473141669718254
6604.79997249932,-0.4466276777518866
6604.800972271535,-0.4459385245957715
6604.801972043751,-0.44524670825169155
6604.802971815966,-0.4445522295150039
6604.803971588181,-0.4438550892282297
6604.804971360396,-0.44315528828107104
6604.805971132611,-0.4424528276104265
6604.806970904827,-0.44174770820040526
6604.807970677042,-0.44103993108233996
6604.808970449258,-0.44032949733479804
6604.809970221472,-0.43961640808359176
6604.810969993688,-0.43890066450178644
6604.811969765903,-0.4381822678097078
6604.812969538119,-0.4374612192749478
6604.813969310334,-0.4367375202123687
6604.814969082549,-0.4360111719841057
6604.815968854764,-0.43528217599956803
6604.816968626979,-0.43455053371543934
6604.817968399195,-0.43381624663567614
6604.81896817141,-0.4330793163115045
6604.819967943626,-0.4323397443414157
6604.82096771584,-0.43159753237116105
6604.821967488056,-0.43085268209374483
6604.822967260271,-0.43010519524941576
6604.823967032487,-0.42935507362565695
6604.824966804702,-0.42860231905717455
6604.8259665769165,-0.4278469334258852
6604.826966349132,-0.42708891866090176
6604.827966121347,-0.42632827673851803
6604.828965893563,-0.42556500968219135
6604.829965665778,-0.42479911956252503
6604.830965437994,-0.4240306084972489
6604.831965210208,-0.423259478651198
6604.832964982424,-0.4224857322362902
6604.833964754639,-0.42170937151150223
6604.834964526855,-0.4209303987828449
6604.83596429907,-0.4201488164033363
6604.8369640712845,-0.41936462677297404
6604.8379638435,-0.4185778323387063
6604.838963615715,-0.41778843559440093
6604.839963387931,-0.41699643908081363
6604.840963160146,-0.4162018453855551
6604.841962932362,-0.4154046571430559
6604.842962704576,-0.4146048770345305
6604.843962476792,-0.4138025077879399
6604.844962249007,-0.41299755217795353
6604.845962021223,-0.41219001302590946
6604.846961793438,-0.41137989319977253
6604.847961565652,-0.410567195614092
6604.848961337868,-0.40975192322995785
6604.849961110083,-0.40893407905495543
6604.850960882299,-0.40811366614311934
6604.851960654514,-0.40729068759488546
6604.85296042673,-0.40646514655704213
6604.853960198944,-0.40563704622267943
6604.85495997116,-0.40480638983113726
6604.855959743375,-0.40397318066795296
6604.856959515591,-0.40313742206480707
6604.857959287806,-0.40229911739946767
6604.85895906002,-0.40145827009573326
6604.859958832236,-0.4006148836233751
6604.860958604451,-0.3997689614980779
6604.861958376667,-0.39892050728137907
6604.862958148882,-0.3980695245806072
6604.863957921098,-0.397216017048819
6604.864957693312,-0.396359988384735
6604.865957465528,-0.3955014423326742
6604.866957237743,-0.39464038268248647
6604.867957009958,-0.3937768132694849
6604.868956782174,-0.3929107379743766
6604.869956554388,-0.3920421607231928
6604.870956326604,-0.39117108548721713
6604.871956098819,-0.3902975162829124
6604.872955871035,-0.3894214571718472
6604.87395564325,-0.38854291226062
6604.874955415465,-0.387661885700783
6604.87595518768,-0.3867783816887644
6604.876954959896,-0.3858924044657895
6604.877954732111,-0.38500395831780126
6604.878954504326,-0.3841130475753789
6604.879954276542,-0.3832196766136555
6604.880954048756,-0.382323849852235
6604.881953820972,-0.3814255717551074
6604.882953593187,-0.38052484683056303
6604.883953365403,-0.3796216796311059
6604.884953137618,-0.3787160747533655
6604.885952909833,-0.3778080368380079
6604.886952682048,-0.3768975705696454
6604.887952454264,-0.37598468067674556
6604.888952226479,-0.37506937193153883
6604.889951998694,-0.3741516491499248
6604.890951770909,-0.3732315171913779
6604.891951543124,-0.37230898095885134
6604.89295131534,-0.37138404539868036
6604.893951087555,-0.37045671550048437
6604.894950859771,-0.3695269962970687
6604.895950631986,-0.36859489286432434
6604.896950404201,-0.36766041032112684
6604.897950176416,-0.36672355382923394
6604.898949948632,-0.36578432859318305
6604.899949720847,-0.3648427398601866
6604.900949493062,-0.36389879292002725
6604.901949265277,-0.3629524931049521
6604.902949037492,-0.36200384578956496
6604.903948809708,-0.36105285639071816
6604.904948581923,-0.3600995303674032
6604.905948354139,-0.359143873220641
6604.906948126354,-0.3581858904933704
6604.907947898569,-0.3572255877703365
6604.908947670784,-0.3562629706779777
6604.909947443,-0.35529804488431177
6604.910947215215,-0.3543308160988208
6604.91194698743,-0.35336129007233524
