RHip_x,RHip_y,RHip_z,RKnee_x,RKnee_y,RKnee_z,RAnkle_x,RAnkle_y,RAnkle_z,RBigToe_x,RBigToe_y,RBigToe_z,RSmallToe_x,RSmallToe_y,RSmallToe_z,RHeel_x,RHeel_y,RHeel_z,LHip_x,LHip_y,LHip_z,LKnee_x,LKnee_y,LKnee_z,LAnkle_x,LAnkle_y,LAnkle_z,LBigToe_x,LBigToe_y,LBigToe_z,LSmallToe_x,LSmallToe_y,LSmallToe_z,LHeel_x,LHeel_y,LHeel_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,Nose_x,Nose_y,Nose_z,RShoulder_x,RShoulder_y,RShoulder_z,RElbow_x,RElbow_y,RElbow_z,RWrist_x,RWrist_y,RWrist_z,RThumb_x,RThumb_y,RThumb_z,RIndex_x,RIndex_y,RIndex_z,RPinky_x,RPinky_y,RPinky_z,LShoulder_x,LShoulder_y,LShoulder_z,LElbow_x,LElbow_y,LElbow_z,LWrist_x,LWrist_y,LWrist_z,LThumb_x,LThumb_y,LThumb_z,LIndex_x,LIndex_y,LIndex_z,LPinky_x,LPinky_y,LPinky_z,Time
-52.11999715142527,3782.8924639557467,-559.828478279309,327.5205995271091,3965.6510665601563,-542.4809790126316,667.4597816123913,4194.1490509260975,-565.819831279118,757.7155556233416,4179.002820650006,-537.4959371632999,768.2282769174101,4216.356062959736,-627.164220772451,684.2785726704581,4175.015435278986,-535.1522220857072,-78.53763235537922,3993.2562087123597,-460.5458819080721,274.4601035961734,4025.4437091748846,-352.3347924361964,627.5530234512045,4101.897136572524,-311.20367826867954,666.190561735325,4049.400390055924,-161.93170230433066,665.8281746076566,4135.11441227335,-166.4583607184353,698.8581565303404,4163.354470096092,-349.6665975541477,-615.0429592963417,3696.6966913539495,-543.411166088783,-862.9063060893046,3522.4047191835225,-406.5121343276017,-699.989892935048,3530.4803122719936,-362.21848291000896,-531.6844299066138,3620.322557539528,-655.6991186827855,-220.88204787666487,3634.188939181181,-677.9201199492711,0.5787158554804361,3613.394657159847,-567.0060649322521,86.30020914351363,3657.4440249450795,-467.5202081494162,114.01606405335208,3638.6768606871005,-470.00085852833115,123.83062064168827,3693.855329234636,-554.6567970990995,-604.0305769535074,3833.2898756053,-461.92331181430745,-360.7935155694611,3970.679520488427,-440.31211685541723,-100.63225765194868,3972.5803905427547,-347.09105114122906,27.372709593023988,3969.460331718433,-330.3391379341889,26.923811327079026,3992.60936086989,-277.66454991298036,21.786285359765944,4088.1804746875814,-313.7806064694861,0.016666666666666666
-47.471578925017575,3785.8720765104777,-561.4557458681109,319.64895160399993,3884.189221112044,-512.4687627416648,650.1415868265917,4135.807914670895,-535.1684966034057,724.4081388256701,4075.810303106469,-512.353424504439,727.4831952731708,4056.692508625421,-581.7321813239517,680.4193553869669,4165.944868648023,-523.9658826715653,-78.50225733216128,3993.605445540787,-460.80674544196194,274.61947586746146,4025.258484557457,-352.358440669782,631.5968597864303,4130.6042317909505,-316.1895720493155,671.2093378116862,4079.473052048745,-166.52605257540793,670.7262758990463,4165.543923058689,-170.72146092089636,699.7373635415621,4166.009369516692,-343.24545941480267,-615.053466171611,3696.8996843685213,-543.393240856643,-863.00207767525,3522.4432917704635,-406.5337010486571,-699.9372470240976,3530.1904523948297,-361.9814836950077,-541.5511795705108,3618.2178909117133,-655.9384206801183,-230.99452509567766,3630.066223025006,-676.718086816856,-3.5578942988611306,3613.5665220046767,-573.0624740083273,87.31491827144924,3683.230732919415,-478.20864730941287,114.70274236376426,3663.0135179142,-474.17547336388924,117.07451753227325,3663.2587151004786,-546.529439709228,-604.4237357705222,3834.086820925838,-461.9752261684686,-360.66107759385227,3971.098752837748,-440.54757301163164,-100.84853923290005,3952.250931612388,-333.5086635278143,22.34421499753999,3966.9561304318067,-330.60982809810594,26.19814109646881,3971.5526476622085,-263.8969556789261,20.648016678347645,4068.344340588109,-300.5361616056677,0.03333333333333333
-47.31082070639329,3785.939620425268,-561.427821854727,322.8700837110709,3905.1651945166745,-527.7549972816608,654.6847554872564,4168.173459894904,-542.7277437986991,751.4923400137128,4149.370652947274,-530.9765862425402,759.8845184354608,4175.472916992036,-620.8550655478114,675.1832833828965,4153.64367645466,-514.3275515150493,-77.95107047202511,3964.582571296962,-454.32873557866424,280.5928025308703,4029.4826294479376,-354.37303124131995,627.2931344842768,4101.741616972255,-311.0047047441218,684.0294211758932,4108.099446094648,-186.53868736838507,679.1429795606493,4174.054247127145,-180.13898130701864,698.7170606775734,4165.050642544019,-342.9999020525595,-620.0859946866027,3695.2550008468097,-543.6556319188655,-862.9709535112469,3522.526145539849,-406.4289525553898,-699.9294054499975,3530.2999329295553,-362.0788269751645,-541.4761726305359,3618.1335780427626,-655.9379008034574,-220.6392779779281,3635.421446932651,-678.0775622644306,1.1380661865707788,3613.8398696719305,-572.7485276348443,87.38734935016294,3682.941252396655,-478.1247033115686,114.72008613390413,3662.6288794359934,-473.9862923058662,117.21978004657316,3664.9565037285042,-547.2195551079769,-604.3302005006263,3833.888850095789,-461.9141836108169,-361.29527410937885,3968.173393483502,-433.13366142775874,-101.00809701987167,3952.251339039744,-333.578574665109,22.0994601956781,3940.770268669842,-325.8452652455898,25.96623349722161,3971.1196095340883,-263.8454212900455,20.514490786430873,4067.632473549642,-300.1757053647808,0.05
-47.3744077525713,3786.3211676572196,-561.6806198125653,328.4344927555625,3955.3482459755055,-549.7577914653664,660.5179796568668,4191.025433255195,-558.0064999580028,746.9235028878235,4116.32579222199,-521.4883139557145,759.4929306676385,4171.264108860404,-617.1682668914741,687.8379282331533,4175.600423715406,-528.0034543708016,-78.51860670678849,3993.464334657551,-460.6747558608425,280.52378713313504,4029.2624622361527,-354.3217999496733,631.5253287596723,4130.330390007264,-315.94474096296625,663.4177322254142,4022.496809607649,-164.98833348752856,672.2842907471717,4166.921931283884,-177.67301731493265,698.8413429651195,4166.054705897725,-343.1194012875661,-620.1200610565287,3695.23889872713,-543.6626483034288,-862.9774953200117,3522.528791322279,-406.4309086416576,-700.0120949153896,3530.4590427791863,-362.13452837787423,-540.464725011157,3646.636886608076,-664.7390334005072,-221.18289942272256,3633.970157036444,-678.1871744279307,1.1562673898576203,3613.961350865234,-572.8380759781728,87.45688554718654,3683.195641654653,-478.11730899471615,114.87553588331137,3663.2025737896784,-474.2434460242992,122.8430244384264,3668.1759087064247,-548.6888905623173,-604.2345305687808,3833.595519309978,-461.85485193112277,-359.022711583685,3940.697938891588,-427.22932566993194,-100.515007118599,3971.9997595457853,-346.944278368989,22.086402388343917,3940.5471003760704,-325.89031120821414,25.77930015231881,3943.301709183417,-259.16382049466665,20.54557283191261,4068.1591069817982,-300.48035094409465,0.06666666666666667
-47.381086079123676,3786.5244757593114,-561.7426211521785,328.44798458598393,3955.9451246598865,-550.1642079643532,655.1000794723996,4169.4810693265645,-542.8332177848798,754.4084724424774,4146.327500119338,-528.8791157746571,766.1505895311049,4197.359699063768,-624.9286739368952,676.433932076812,4156.374622060693,-514.9419930690603,-78.50339521026918,3993.171017838885,-460.5397243010127,280.571519739232,4029.4371020692624,-354.33226736689966,627.396422816522,4101.481261201402,-310.77255278845763,679.6864006226268,4059.642666308111,-171.01882075927128,678.9195951362216,4172.28441520453,-179.9198443760382,698.3065106787407,4165.200289467292,-342.96625754092827,-620.1056948382203,3695.1316409033457,-543.6106656400639,-863.0870532545462,3522.5574191528394,-406.5129096675423,-700.0109976073579,3530.3436876573132,-362.0416921855401,-537.053301505692,3621.3258163290325,-657.4156300778252,-230.92431133663652,3630.3885932577523,-676.9194220896189,-3.4901817465706535,3613.7840851959195,-573.2807427844594,87.5087871654545,3683.5788634097858,-478.73695977544764,115.01740310926783,3663.6400592469085,-474.7498026469592,116.90510800557608,3665.286808704816,-547.9013327774136,-604.2336497612366,3833.583894403873,-461.8554090745647,-363.5532165471455,3937.586609108875,-425.9732632591892,-100.6246188076791,3972.127246296241,-346.94147967777246,21.96012110698175,3940.5913691020396,-325.8274368188504,25.682937561687183,3970.9652464050387,-263.84602214269347,20.342641138723955,4067.6568320195474,-300.2238121635448,0.08333333333333333
-47.34260586491935,3786.415518150141,-561.7302670747852,331.736305506585,3928.8245903896677,-544.3731404259346,666.1281137192773,4190.585107407212,-557.3302363443605,752.529539568999,4148.737753693987,-530.2873799993566,765.6740429262835,4194.99512261556,-633.2842994145346,683.1602174289368,4154.371631163114,-513.8549676055449,-78.49512419876687,3993.397121656611,-460.6425234880394,280.6913402887598,4029.21324569884,-354.26769056288396,627.6622434877617,4101.584224849855,-310.83283413303326,673.0979227917428,4046.0375583643136,-172.16530579231843,672.6463101359876,4139.698015001369,-168.5285521225278,698.4093446394629,4165.723103132238,-343.09599644185687,-620.1409458023156,3695.238741325814,-543.6284239164514,-863.0205503106698,3522.367864281057,-406.38997535997754,-700.0324808722389,3530.479448452939,-362.1066185598963,-537.0505921757607,3621.293176292552,-657.4004928054679,-230.867386862976,3630.4533218763227,-676.9749859981112,1.1530507062400575,3613.9866840561617,-572.9076621164207,87.48332219064217,3683.2652540183935,-478.36487492945133,115.09819177706201,3663.3844661504286,-474.5401968332265,117.09116478154695,3665.1635293359623,-547.7209285915222,-604.3427417968751,3833.967033337313,-462.0634924498417,-361.26431808464645,3968.3024951248167,-433.18258168196786,-100.56039019533115,3972.241422072147,-346.91936635515907,21.82010176915741,3940.171378444901,-325.6294569460431,25.395354292172087,3942.75670495678,-258.84702662825606,20.276417920541128,4067.573931427477,-300.10456422980894,0.09999999999999999
-47.34044257246506,3786.3901464452915,-561.7370822819732,328.5810802388337,3955.518430879855,-550.1655455716522,660.8403057993155,4168.103326787254,-541.7045250092093,747.364206605247,4143.597467331069,-527.567293435467,766.3534057866684,4203.560079228024,-627.0124739181852,689.6968017239692,4153.0841212782625,-512.6480786035818,-78.5117694306758,3993.509822177961,-460.749257320795,274.6977304907172,4025.1852222197185,-352.4772460496929,631.6923554505113,4130.13401292807,-315.8338141531761,683.4175193000906,4079.4464498046414,-176.2695371340646,672.8587071628651,4140.808156957081,-168.6899191487962,698.4729659079243,4165.49582005437,-343.0328633070886,-620.1534646707277,3695.266291493711,-543.6799109200315,-863.1135014990078,3522.5165925623396,-406.481892359013,-700.0344125016262,3530.3384366762475,-362.0324131820057,-537.0895359763337,3621.253665391893,-657.4418967918508,-231.00753753971642,3630.254801875232,-676.8413681190792,1.0818095426616354,3613.9993675774563,-572.9025892165768,87.40490469603283,3683.1491000654655,-478.2780021525772,114.8134247207485,3663.1237478227704,-474.3357559417751,117.17972361870854,3665.1773305973716,-547.48483794605,-604.2438370926188,3833.8316459514353,-462.03649852896,-360.87567862849704,3969.84806548249,-439.8389638834562,-100.86691924709271,3952.3771152759596,-333.5277743047454,22.37718468861422,3967.2521861382247,-330.79391920751186,25.96616390323157,3971.3575011598955,-263.89295705365066,20.458301201809686,4067.023033252956,-299.87050960820807,0.11666666666666665
-52.31446521124289,3783.4603441012546,-560.2378428989874,319.30711616319314,3933.8819409412636,-534.4580959488617,656.8525957705809,4168.231670357594,-548.3555319269876,758.6573495062025,4168.091948048889,-530.7362943357372,771.138870017334,4216.592253670559,-626.9355999021124,682.7067799327123,4171.057547003647,-526.135003712985,-83.96869008658703,3989.5336990342903,-459.0859784770021,268.87685962211424,4025.018860362531,-352.80718889388896,627.6675750626662,4101.638220157007,-311.0422784456343,686.7701078487391,4135.358265020515,-183.52467472928808,670.7836634146505,4165.181852859407,-170.59722004329757,697.6512256316522,4164.665684497096,-343.21645554011,-620.2741329399993,3695.6472973229643,-543.9447405763021,-863.0002079659747,3522.4825102250393,-406.48352963475753,-700.0079328498394,3530.3659838603685,-362.10830019595215,-540.6163325299511,3647.1635527757007,-665.0152177346469,-226.12486285938238,3630.734308320452,-676.4333926323382,1.0534746175441245,3613.647633135086,-572.7626971672462,86.86293232020435,3658.3625956705055,-472.7185168776568,114.9234658178937,3662.8638245082557,-474.4618138376638,116.92260223024,3666.131272522952,-548.1568537176056,-604.4082727658177,3834.0310995490845,-462.0615304369617,-365.8901147511554,3965.2528070884396,-432.05261887938707,-100.62931911357472,3972.657618651458,-347.11586848864937,27.015656048350998,3942.484842137109,-325.4300409655173,26.991129991364435,3963.585652441255,-272.771859269451,22.266686817823455,4088.307169873022,-313.79072318994156,0.13333333333333333
-52.22111862595735,3783.3554312135598,-560.1636740089083,317.630502055542,3904.6399525082534,-527.760862571843,656.4569987156725,4169.587909692158,-549.4449761787538,754.0491256010563,4169.61994360216,-533.4673061422245,771.887232383423,4226.2534769028825,-632.2689083386138,682.2471584393409,4171.348839881072,-525.8779483078425,-83.91845914386074,3989.690363874133,-459.10321144456844,274.4091994601466,4024.7699208512886,-352.2987361578686,627.6252640564826,4101.618100698988,-311.0271320084862,681.8856683969568,4105.37249466548,-179.02815182953734,672.3196660595333,4167.482310576351,-177.4240593864282,697.3891094449004,4164.77232559469,-343.2734372883609,-620.2048338078733,3695.774901771486,-543.934798267236,-862.999663271821,3522.661684604508,-406.5696405150102,-699.940733643025,3530.3169100700743,-362.1121557687445,-540.6097903390746,3647.410095574639,-665.0906963992821,-221.19734502443285,3634.0977409099314,-678.1720747714269,1.0414762789151248,3613.446235335331,-572.6547736405329,86.82156052274478,3658.260334983065,-472.8175906491842,113.8849473197201,3637.426674941123,-468.1158602191794,116.76131201661538,3665.5666070590732,-548.0842893921265,-604.4172116451836,3834.089726664836,-462.16764233788564,-365.95386741023856,3965.7143268084624,-432.0761054891413,-100.90924517534448,3972.482100687438,-347.1032325660913,21.531762803106716,3940.566366621103,-326.16183492691994,28.029850708735587,3984.002767571571,-286.2307107189383,21.918150756890206,4088.076787740062,-313.82376226010496,0.15
-47.45492373691613,3786.2883876381215,-561.6334286382802,319.8835660466887,3935.0018346609913,-535.100218916873,655.5189287192952,4168.926404379366,-542.4149316812665,765.5192093719162,4172.6455254221755,-533.115964213991,770.9585905199758,4213.066401888568,-626.7177109902258,682.9635997323121,4173.349452455716,-526.3561143871563,-83.88729338187936,3989.354916053561,-458.91582517086766,274.4748351526489,4025.1309892498953,-352.37515436790386,631.7313267737765,4130.329904423291,-315.9972716333384,692.9811509888598,4139.5992998479105,-185.52229463900443,678.6449712594157,4172.076215232593,-179.40501225154546,697.4678781718533,4165.2715789060185,-343.42060423826905,-620.247272662844,3695.6432527835027,-543.9213739350458,-862.9371636070196,3522.5360833594746,-406.5823991160339,-700.0127645416032,3530.4194053259384,-362.2171651685898,-540.5404898158305,3647.4157638783936,-665.0971572807621,-221.25969965008505,3634.0243994897387,-678.1141722064453,1.0974145525709602,3613.718104693327,-572.7859356576026,86.83097315153829,3658.1460093105534,-472.572766668011,114.81827394157848,3662.283171924646,-474.0958301000129,117.87566092470726,3691.5396488211945,-554.292623007312,-604.3697030544911,3834.0213183064234,-462.1637742415881,-365.95272695171315,3965.0052639015994,-431.7395025702973,-100.75230994585243,3972.4430265553456,-347.05648686524137,21.59720906105388,3940.539471622894,-326.05969427225455,28.022079454697685,3984.004374614566,-285.93743103808555,21.864500866262514,4088.3551902032327,-313.91278646880255,0.16666666666666666
