left_hand_wrist_x,left_hand_wrist_y,left_hand_wrist_z,left_hand_thumb_cmc_x,left_hand_thumb_cmc_y,left_hand_thumb_cmc_z,left_hand_thumb_mcp_x,left_hand_thumb_mcp_y,left_hand_thumb_mcp_z,left_hand_thumb_ip_x,left_hand_thumb_ip_y,left_hand_thumb_ip_z,left_hand_thumb_tip_x,left_hand_thumb_tip_y,left_hand_thumb_tip_z,left_hand_index_finger_mcp_x,left_hand_index_finger_mcp_y,left_hand_index_finger_mcp_z,left_hand_index_finger_pip_x,left_hand_index_finger_pip_y,left_hand_index_finger_pip_z,left_hand_index_finger_dip_x,left_hand_index_finger_dip_y,left_hand_index_finger_dip_z,left_hand_index_finger_tip_x,left_hand_index_finger_tip_y,left_hand_index_finger_tip_z,left_hand_middle_finger_mcp_x,left_hand_middle_finger_mcp_y,left_hand_middle_finger_mcp_z,left_hand_middle_finger_pip_x,left_hand_middle_finger_pip_y,left_hand_middle_finger_pip_z,left_hand_middle_finger_dip_x,left_hand_middle_finger_dip_y,left_hand_middle_finger_dip_z,left_hand_middle_finger_tip_x,left_hand_middle_finger_tip_y,left_hand_middle_finger_tip_z,left_hand_ring_finger_mcp_x,left_hand_ring_finger_mcp_y,left_hand_ring_finger_mcp_z,left_hand_ring_finger_pip_x,left_hand_ring_finger_pip_y,left_hand_ring_finger_pip_z,left_hand_ring_finger_dip_x,left_hand_ring_finger_dip_y,left_hand_ring_finger_dip_z,left_hand_ring_finger_tip_x,left_hand_ring_finger_tip_y,left_hand_ring_finger_tip_z,left_hand_pinky_mcp_x,left_hand_pinky_mcp_y,left_hand_pinky_mcp_z,left_hand_pinky_pip_x,left_hand_pinky_pip_y,left_hand_pinky_pip_z,left_hand_pinky_dip_x,left_hand_pinky_dip_y,left_hand_pinky_dip_z,left_hand_pinky_tip_x,left_hand_pinky_tip_y,left_hand_pinky_tip_z
-245.9359032245258,3994.586736778217,148.06528433911006,-259.49534625429476,3976.7614917066066,120.78716445911256,-255.89258238249755,3951.3944380414587,89.48110838474399,-254.28212828101462,3942.375526478613,64.77830636381697,-251.57773555434684,3939.59230823313,44.10818321387869,-219.33492023944478,3957.3574040405933,77.0955092769772,-219.15076818661538,3943.414025931955,39.98158783357819,-229.35655740580896,3934.837000040449,18.680999088573728,-239.44133591506477,3928.185175128193,5.3750866903424015,-216.76912593265837,3978.117925795844,75.46021135973767,-217.08366390160995,3966.880748756496,37.0403042238951,-228.08352696739954,3958.626172035517,15.048179118661203,-239.7392149726029,3951.3453854417426,0.103878322347009,-216.89797887487165,3989.601621231857,74.19371567596662,-218.41623762132082,3980.4375971553936,37.197220799896584,-228.038343604778,3972.690309803173,15.99013827119783,-237.89238322893127,3964.906504407546,1.3054024613312838,-220.1269613071291,3996.374232325587,73.13354100602542,-218.5397629645468,3986.135327244771,41.67540602393686,-222.40291649598393,3975.3482547021968,21.95909080014938,-227.9181173124105,3966.1731153344267,8.053663527363799
-243.50439494079845,3992.8699906763973,148.75314637377323,-254.50142917326903,3969.558078387177,124.75912479427191,-251.6098645114571,3945.5194234766695,92.33489624178007,-248.4848347853344,3935.80115687966,66.02950169636347,-245.92320511856482,3931.6358929297303,44.75068825221387,-216.55382840632478,3951.563013182532,79.6980771813301,-215.49512450211995,3936.3913189458526,42.91471454981253,-225.40186266610002,3930.1379896670205,22.45128485788816,-236.3683191067872,3926.3529009580543,9.718301710267422,-212.17783085860077,3968.7049927832995,77.64329421960457,-211.1241703805715,3956.504774397315,40.42350654775873,-221.65320604395168,3950.0887713124603,20.330169255263336,-234.2778048488658,3945.341646856973,6.913031981247255,-212.3420816435824,3980.3101170104023,75.90639262126513,-212.6073448145014,3970.483843453206,40.277652155097876,-222.02446917202192,3962.9569231620285,21.1153056374916,-233.07145791880717,3956.4908928977397,7.868454690588411,-216.0567253107007,3988.201461606854,74.68015949197677,-214.65879476580727,3977.4239656457016,44.15483950492817,-220.0968765962233,3968.6222241168184,25.59333208514055,-227.43916929099944,3961.313188677116,12.88270204659729
-245.432395010327,3994.055894688485,150.14075700916533,-250.95663786101116,3967.182974270739,128.3628869523838,-246.5521064419706,3942.080796233465,95.98700934730519,-242.46395615881588,3930.9966267551267,68.46040550570235,-239.94021096944869,3926.311869909064,46.54676987833486,-219.29959192509455,3949.6874992506696,81.37493011423821,-214.534800609873,3931.1196351352933,44.76919539353605,-221.76974150655798,3924.6197165489616,27.117969518855677,-232.3230457784671,3921.719285584102,16.848458401152854,-216.10250039421726,3966.868220830647,78.7769620490952,-211.1797808793728,3951.019968023565,42.597824795130585,-218.55168190631628,3943.4109525296976,25.6059879594965,-230.19445300434145,3938.744578245936,14.832369166749043,-217.01548209090393,3979.3563846719426,76.68130891662938,-213.330787202155,3965.6354791129243,42.38759893598082,-219.59667278489005,3956.036865903041,26.292716952182744,-229.49316904571234,3948.6856563481106,15.48703955846207,-220.77375823133238,3988.1146536568276,75.23610438891774,-216.1883908218451,3973.476712215272,45.84761630424674,-219.78670227271735,3963.4335890021716,29.92854355930688,-226.55758904587407,3955.6536485159677,19.64406324981322
-247.8916308220188,3995.5560609613062,151.016867892427,-249.13105092183167,3966.816042465743,130.20734007178618,-243.1964797417692,3939.9841540285165,98.69263055171145,-239.24542119201053,3928.2699082765466,70.68015117869696,-236.7603347098091,3924.8113031203466,48.29104248353675,-222.6140593040805,3949.874439343277,82.33914903991011,-214.21746883219006,3927.1656732085307,45.87594905506884,-218.69927885740057,3918.5059503649095,30.365430247166465,-228.1391179439882,3914.700736368979,21.9786141347751,-221.54576321384167,3969.2680895808476,79.55025246791331,-213.17348615991432,3948.911447400577,44.05928535043237,-217.15577710958854,3938.294873562437,28.957530727317753,-226.88438953546415,3931.9788400443167,19.705041444765303,-223.2112640554893,3982.6424539655577,77.41488563581086,-215.83328197310746,3963.7490498376906,44.086458501137635,-218.40103567011874,3951.030630832007,29.697439510289325,-225.96644966444083,3941.629157612967,20.154644045734234,-226.7389552891435,3991.4505179141584,75.84437425357272,-218.54304944639728,3971.7206344365477,47.26341021165468,-219.0245856108829,3958.686634540094,33.22082650741077,-223.86758620664125,3949.1298388249297,24.474937274587205
-245.64689896082336,3993.384112757153,150.21997574048072,-248.50207663202235,3963.3544710453957,129.4739819603295,-243.64870323252902,3936.734685180121,98.43129759219562,-240.65864469289005,3926.3212421466,70.68997272013011,-238.3556802222733,3925.0474028571894,48.25659579527453,-219.66984418793487,3947.851865140016,83.16910796945783,-211.891355192315,3923.53757517162,46.988030235918025,-216.68560771040782,3913.3172324685443,29.921136474044527,-225.5664389424174,3908.379688020869,19.970033098297954,-218.19021386705765,3967.9065612300687,80.86715465710735,-210.57081294552194,3945.9083832962633,45.65727798200216,-214.5060910574582,3933.6991592433187,28.911870336628784,-223.4548314346418,3926.231300015347,17.92402831010476,-219.6078682226473,3981.1343035279524,79.02332228401592,-212.71857666523647,3960.0514695079314,46.00994057797554,-214.86549108136361,3945.93158649017,29.84777676287684,-221.4570238248511,3935.62408647988,18.472283300076096,-223.0405521530713,3989.149580393306,77.53391258712811,-215.1332896524676,3967.4886148554897,48.91665883481296,-215.1145487680229,3953.156915204438,33.55099951074218,-219.12924746651953,3942.870371813242,23.34154547372357
-241.12267930517828,3988.6650478966885,148.92869094442767,-248.67764474159185,3957.6214979389006,127.6555295542679,-245.9797991921414,3932.1568383284525,96.2432764423781,-243.5923683585796,3923.4026151985736,68.98138201498247,-241.3507312934415,3922.746960021246,46.9586020281781,-213.30831436594926,3943.537657648405,83.77621761166702,-209.13986639708105,3920.7585480224234,47.71968086595075,-216.29395733791438,3910.609173234739,27.198023420278364,-225.35026944244723,3905.264637515805,13.974547953797625,-209.48421678484212,3962.361122875797,82.10182093049927,-205.2239114364894,3941.635113375683,46.74396347553296,-211.65180078964846,3929.9916348692677,26.816997069376228,-221.1913985410255,3922.5438634775433,12.824084052160556,-210.03132129051627,3974.8754944819584,80.54204320080414,-206.32180746618474,3954.863415859967,47.19696877399373,-210.8839278755389,3941.4721398445354,27.962693566574313,-218.28098952170123,3931.64732881166,13.819570489557945,-213.58430648730538,3982.165875463677,79.18051678725847,-208.666653539677,3961.9989917107464,49.956078061120635,-210.68166457468132,3948.5011004278804,31.779528806644315,-215.44805273523053,3938.7522995925415,18.950350443490162
-240.04602965073897,3985.8463744584783,148.8349107781709,-249.43100130278793,3954.154924087461,126.98273950529826,-247.3240147225389,3928.397679546246,94.99572507585916,-244.54492844194465,3919.423823797555,67.8022813624646,-241.8349012790347,3916.8321067760035,46.30160486422181,-210.72938670120485,3940.6117440169864,83.684666537641,-208.65316652364885,3919.830962430197,47.09942331891385,-217.32269314412017,3910.4675180337217,25.006588956507976,-226.93819881157006,3905.411307757956,10.538739828064198,-205.81515108854848,3958.815084690506,82.1309829407857,-203.34717911617062,3939.1243395218144,46.13524176308521,-211.77734204446833,3928.5561556603807,25.01942176319926,-222.34739070735776,3921.640819079547,10.210789128369967,-206.08016277473575,3971.1943588108516,80.58329914099835,-204.20532939624968,3952.1947322296883,46.4215890835369,-211.02723155932082,3939.8811846079434,26.382350554795075,-219.76184746730607,3930.6584584427387,11.941772352469433,-209.8519963021416,3978.44603953852,79.23440465935684,-206.74857862784174,3959.7925839871655,49.41474094647734,-210.75613814013798,3947.2352175754095,30.328295255836153,-216.74099148486732,3937.971149487952,17.01624948163198
-242.59640618716935,3986.33828665535,149.26700134112878,-250.36211865070894,3954.3241207752667,127.50984482415127,-247.77818208074498,3927.551012589498,95.47414956281723,-244.37492017589412,3917.156009895971,67.97962259054697,-241.08854880737178,3912.430119990209,46.64821457817704,-212.71047099100488,3940.8916829324658,82.59234662928634,-210.00079089970006,3920.8967074743573,45.19138748324107,-218.915521385711,3912.102058859138,24.047142901834793,-229.41787943231304,3907.6080547638353,10.99999620058033,-208.85442645135583,3959.8241837197124,80.8253759586223,-206.02261914652917,3940.159574517093,44.08525111367266,-215.17909180205652,3930.1610716600785,24.228461155201202,-226.7122393705468,3923.832068796103,11.127875404911265,-209.785347752603,3972.596426164249,79.20383469989204,-207.91743641213864,3953.633895394178,44.21839448041205,-215.70199775959676,3941.6270344180707,25.975232697063447,-225.41296443479786,3932.601037346221,13.807493244210116,-213.8611081363044,3979.9493906521748,77.90188989077468,-210.9210613186578,3961.612546993837,47.8079928388819,-215.91558792986586,3949.2616568257595,30.231520772343366,-222.80359113198062,3940.0166963503975,18.858152122255955
-244.6667547875694,3987.766702618173,148.22626772258982,-251.33458009378475,3955.9505172943605,127.28879389057674,-249.09268309079937,3930.0772636750244,95.69246552683431,-245.8176667611402,3919.792199841123,68.06460634884269,-242.78493410130338,3915.1708646767256,46.47042621965001,-215.0319080883807,3942.695371207914,80.4755756574743,-211.68903945826696,3924.0117738331164,43.11142942690352,-220.804287354087,3915.501786070616,23.40955353482767,-232.13458481572556,3911.207075970275,12.186460901763523,-212.45848198566023,3961.9624607878773,78.72181174272194,-209.56844242846557,3943.8573864029586,41.93733468860829,-219.08790652255735,3934.1618740193435,23.648212742057957,-231.14521901476783,3928.0450982928683,12.390317259097877,-214.15083094031834,3974.713285377682,77.26523911168482,-212.74474362235267,3957.346150294465,42.13246342864474,-220.9567105470888,3945.316099541678,25.93276193305424,-231.039606409374,3936.341890946515,16.03016079069935,-218.49499289913598,3981.6439090198023,76.24793961109431,-216.11252856564738,3964.599415272646,46.28057643181653,-221.66459565214976,3952.5913020232815,30.53945707197714,-228.9324039343375,3943.447075421141,21.171141185013088
-244.79836652738112,3988.6984433946063,145.32856325940696,-253.05826880796062,3957.847220716927,125.2220817216615,-252.03621790108798,3934.830511190074,94.0715876727266,-249.44924750372599,3926.7992556700387,66.79371981812714,-247.12938924394643,3923.3539558003995,45.144550833394995,-216.20722607453428,3944.6926180435653,77.71910796089126,-214.095642061511,3929.2095938139605,41.55605943247966,-223.45013032502024,3920.7547685875143,22.406177449733136,-234.68441206957473,3915.8203382876654,11.675967362874093,-213.51276055531397,3963.114328741005,76.23802967362852,-211.77898371868068,3948.5463191500926,40.23519192390602,-221.45969168125976,3938.8968741903077,22.281011365858753,-233.1420454811697,3932.014087451616,11.299811576439556,-215.08536621128866,3975.27962239666,75.14801688405485,-215.11027215794653,3961.4187139083015,40.58043477765146,-223.7448172278933,3949.6235386177023,24.94224230446018,-233.67227681445175,3940.589676799353,15.559477316304065,-219.2784176681705,3981.60670333528,74.53220029486968,-218.2096775250681,3967.433981799699,44.95930057075522,-224.13399100428563,3956.261063634791,29.794077833718152,-231.27371795158774,3947.3716237186964,20.851556328445884
