LSL_Time,PLUX_P1_nSeq,PLUX_P1_ECG0,PLUX_P1_EMG1,PLUX_P1_EMG2,PLUX_P1_RESPIRATION3
6448.942482544423,1131334.0,0.0007200000109151006,0.00014000000373926014,-0.0014100000262260437,-0.06550999730825424
6448.943482316638,1131335.0,-0.0023399998899549246,-0.004769999999552965,-0.000859999970998615,-0.07077000290155411
6448.944482088853,1131336.0,-0.00547999981790781,-0.0030900000128895044,0.00031999999191612005,-0.06706000119447708
6448.945481861068,1131337.0,-0.009840000420808792,0.00014000000373926014,-0.000859999970998615,-0.07108999788761139
6448.946481633284,1131338.0,-0.014329999685287476,0.00014000000373926014,-0.0006399999838322401,-0.07282999902963638
6448.947481405499,1131339.0,-0.016039999201893806,-0.003449999960139394,0.0035000001080334187,-0.07292000204324722
6448.948481177715,1131340.0,-0.016170000657439232,-0.005679999943822622,-0.0012700000079348683,-0.06999000161886215
6448.949480949929,1131341.0,-0.017160000279545784,0.0012700000079348683,-0.006039999891072512,-0.0701799988746643
6448.950480722145,1131342.0,-0.016440000385046005,0.00031999999191612005,0.00031999999191612005,-0.07378999888896942
6448.95148049436,1131343.0,-0.013389999978244305,0.002319999970495701,0.00031999999191612005,-0.0757099986076355
6448.952480266576,1131344.0,-0.009789999574422836,-0.0031300000846385956,0.002409999957308173,-0.07191000133752823
6448.953480038791,1131345.0,-0.008089999668300152,-0.001230000052601099,-0.0028200000524520874,-0.07374999672174454
6448.9544798110055,1131346.0,-0.00610999995842576,0.0015899999998509884,-0.004679999779909849,-0.07767999917268753
6448.955479583221,1131347.0,-0.0029200001154094934,0.00031999999191612005,0.00031999999191612005,-0.07558000087738037
6448.956479355436,1131348.0,0.004939999897032976,0.00031999999191612005,0.004410000052303076,-0.0741100013256073
6448.957479127652,1131349.0,0.012129999697208405,0.004220000002533197,0.00031999999191612005,-0.0765800029039383
6448.958478899867,1131350.0,0.016349999234080315,0.004679999779909849,-0.000910000002477318,-0.08025000244379044
6448.959478672083,1131351.0,0.018869999796152115,0.0052200001664459705,-9.000000136438757e-05,-0.07694999873638153
6448.960478444297,1131352.0,0.021199999377131462,0.005309999920427799,-0.0006399999838322401,-0.07840999960899353
6448.961478216513,1131353.0,0.020169999450445175,0.00031999999191612005,0.0013200000394135714,-0.08171000331640244
6448.962477988728,1131354.0,0.015359999611973763,-0.005489999894052744,-0.0011399999493733048,-0.08129999786615372
6448.9634777609435,1131355.0,0.005260000005364418,-0.004040000028908253,-0.0036800000816583633,-0.0791499987244606
6448.964477533159,1131356.0,-0.0048500001430511475,-0.006399999838322401,-0.0015399999683722854,-0.0831800028681755
6448.9654773053735,1131357.0,-0.010329999960958958,-0.003860000055283308,-0.00044999999227002263,-0.08523999899625778
6448.966477077589,1131358.0,-0.01271000038832426,0.0006399999838322401,0.0022700000554323196,-0.08156999945640564
6448.967476849804,1131359.0,-0.012670000083744526,-0.004310000222176313,-0.0045900000259280205,-0.0831800028681755
6448.96847662202,1131360.0,-0.011719999834895134,0.004089999943971634,-0.0028200000524520874,-0.08591999858617783
6448.969476394235,1131361.0,-0.00839999970048666,0.005770000163465738,0.0044999998062849045,-0.08748000115156174
6448.970476166451,1131362.0,-0.006380000151693821,0.005770000163465738,0.003949999809265137,-0.08449999988079071
6448.971475938665,1131363.0,-0.005439999978989363,0.0071299998089671135,-0.0009500000160187483,-0.08611000329256058
6448.972475710881,1131364.0,-0.004720000084489584,0.004449999891221523,0.001769999973475933,-0.0888499990105629
6448.973475483096,1131365.0,-0.004939999897032976,0.002090000081807375,-0.0011399999493733048,-0.09076999872922897
6448.9744752553115,1131366.0,-0.0047599999234080315,0.0010000000474974513,-0.0020000000949949026,-0.08867000043392181
6448.975475027527,1131367.0,-0.004360000137239695,-0.0002699999895412475,-0.0019099999917671084,-0.08780000358819962
6448.9764747997415,1131368.0,0.0003100000030826777,0.000910000002477318,-0.000539999979082495,-0.09160000085830688
6448.977474571957,1131369.0,0.008179999887943268,0.004860000219196081,0.0015899999998509884,-0.09342999756336212
6448.978474344172,1131370.0,0.016349999234080315,0.01066999975591898,-0.0036800000816583633,-0.09261000156402588
6448.979474116388,1131371.0,0.02263999916613102,0.006130000110715628,-0.002589999930933118,-0.09049999713897705
6448.980473888603,1131372.0,0.024620000272989273,0.003220000071451068,0.0002699999895412475,-0.09342999756336212
6448.981473660819,1131373.0,0.024080000817775726,-0.0033199999015778303,0.00014000000373926014,-0.09562999755144119
6448.982473433033,1131374.0,0.01940999925136566,-0.007670000195503235,-0.001180000021122396,-0.096950002014637
6448.983473205249,1131375.0,0.012310000136494637,-0.007899999618530273,-0.001500000013038516,-0.094480000436306
6448.984472977464,1131376.0,0.004579999949783087,-0.005489999894052744,-0.00203999993391335,-0.09503000229597092
6448.9854727496795,1131377.0,0.0002699999895412475,-0.005489999894052744,0.002360000042244792,-0.09827999770641327
6448.986472521895,1131378.0,-0.0033199999015778303,-0.004269999917596579,-0.002589999930933118,-0.10016000270843506
6448.9874722941095,1131379.0,-0.0033199999015778303,-0.002950000111013651,-0.000859999970998615,-0.09961000084877014
6448.988472066325,1131380.0,-0.0023399998899549246,0.004809999838471413,0.002589999930933118,-0.09860000014305115
6448.98947183854,1131381.0,-0.0008999999845400453,0.0014100000262260437,0.003949999809265137,-0.09804999828338623
6448.990471610756,1131382.0,0.0034600000362843275,0.0028200000524520874,-0.0002699999895412475,-0.1003900021314621
6448.991471382971,1131383.0,0.008179999887943268,-4.999999873689376e-05,0.006089999806135893,-0.10317999869585037
