LSL_Time,PLUX_P1_nSeq,PLUX_P1_ECG0,PLUX_P1_EMG1,PLUX_P1_EMG2,PLUX_P1_RESPIRATION3
6740.494056416676,1422952.0,0.03440999984741211,0.006810000166296959,0.005400000140070915,-0.07123000174760818
6740.495056188892,1422953.0,0.03099999949336052,0.009309999644756317,0.008580000139772892,-0.06765999644994736
6740.496055961106,1422954.0,0.03238999843597412,-0.0017300000181421638,0.004679999779909849,-0.0700799971818924
6740.497055733322,1422955.0,0.035349998623132706,0.0018599999602884054,0.0021299999207258224,-0.07242000102996826
6740.498055505537,1422956.0,0.033959999680519104,-0.0006799999973736703,0.0037700000684708357,-0.07146000117063522
6740.499055277753,1422957.0,0.03181000053882599,-0.00494999997317791,0.00018000000272877514,-0.07621999830007553
6740.500055049968,1422958.0,0.02928999997675419,-0.0051299999468028545,0.00031999999191612005,-0.07214000076055527
6740.5010548221835,1422959.0,0.026410000398755074,-0.002409999957308173,-0.00203999993391335,-0.07644999772310257
6740.502054594398,1422960.0,0.024170000106096268,-0.002589999930933118,0.001230000052601099,-0.07874000072479248
6740.5030543666135,1422961.0,0.026319999247789383,0.0011399999493733048,0.00031999999191612005,-0.07466000318527222
6740.504054138829,1422962.0,0.029650000855326653,0.003449999960139394,-0.0011399999493733048,-0.07924000173807144
6740.505053911044,1422963.0,0.030460000038146973,0.0013599999947473407,-0.0003600000054575503,-0.08152999728918076
6740.50605368326,1422964.0,0.029689999297261238,-0.000910000002477318,0.008899999782443047,-0.07750000059604645
6740.507053455474,1422965.0,0.027489999309182167,-0.0008200000156648457,-0.0006399999838322401,-0.08252999931573868
6740.50805322769,1422966.0,0.024709999561309814,0.005040000192821026,-0.002319999970495701,-0.0839499980211258
6740.509052999905,1422967.0,0.02443999983370304,-0.001230000052601099,-0.004040000028908253,-0.08106999844312668
6740.510052772121,1422968.0,0.02606000006198883,-0.0021299999207258224,0.004809999838471413,-0.08583000302314758
6740.511052544336,1422969.0,0.02686000056564808,-0.0031799999997019768,-0.006719999946653843,-0.08207999914884567
6740.5120523165515,1422970.0,0.026319999247789383,0.0030400000978261232,-0.002859999891370535,-0.08698000013828278
