video,shutter_speed,camera,fps,total_frames,left_hand_visibility,right_hand_visibility,both_hands_visible,left_hand_confidence,right_hand_confidence,left_hand_jitter,right_hand_jitter,average_pose_confidence
oneover60_cam1,1/60,cam1,60.0,1279,100.0,88.8975762314308,88.8975762314308,,,0.0010121025296337075,0.008201812513466059,0.9861847638425777
oneover60_cam2,1/60,cam2,60.0,1279,99.92181391712275,90.6958561376075,90.61767005473025,,,0.0010247302255255177,0.007191969774346837,0.989441431525883
oneover60_cam3,1/60,cam3,60.0,1279,100.0,91.47771696637999,91.47771696637999,,,0.0008165423103522176,0.007176439824153443,0.9770149220071809
oneover250_cam1,1/250,cam1,60.0,1453,100.0,99.58706125258087,99.58706125258087,,,0.0014298859268414002,0.0033707837516884203,0.9859731365621055
oneover250_cam2,1/250,cam2,60.0,1453,99.93117687543015,99.79353062629043,99.72470750172057,,,0.001445196255920193,0.00346357701141448,0.9895902748087921
oneover250_cam3,1/250,cam3,60.0,1453,98.55471438403303,98.7611837577426,97.31589814177563,,,0.0011231844488651078,0.00347365052142892,0.9728040916288496
