LSL_Time,Video_P1_Channel 1
6416.872386111485,10373.0
6416.874442758047,10373.0
6416.876499404609,10373.0
6416.87855605117,10373.0
6416.8806126977315,10373.0
6416.882669344293,10373.0
6416.884725990854,10373.0
6416.886782637416,10374.0
6416.888839283977,10374.0
6416.890895930539,10374.0
6416.892952577101,10374.0
6416.895009223662,10374.0
6416.897065870224,10374.0
6416.899122516786,10374.0
6416.901179163347,10374.0
6416.903235809908,10375.0
6416.90529245647,10375.0
6416.907349103031,10375.0
6416.909405749593,10375.0
6416.911462396155,10375.0
6416.913519042716,10375.0
6416.915575689278,10375.0
6416.91763233584,10375.0
6416.919688982401,10375.0
6416.9217456289625,10375.0
6416.9238022755235,10375.0
6416.925858922085,10375.0
6416.927915568647,10375.0
6416.929972215208,10375.0
6416.93202886177,10375.0
6416.934085508332,10376.0
6416.936142154893,10376.0
6416.938198801455,10376.0
6416.940255448017,10376.0
6416.942312094578,10376.0
6416.944368741139,10376.0
6416.946425387701,10376.0
6416.948482034262,10376.0
6416.950538680824,10377.0
6416.952595327386,10377.0
6416.954651973947,10377.0
6416.956708620509,10377.0
6416.95876526707,10377.0
6416.960821913632,10377.0
6416.9628785601935,10377.0
6416.9649352067545,10377.0
6416.966991853316,10378.0
6416.969048499878,10378.0
6416.971105146439,10378.0
6416.973161793001,10378.0
6416.975218439563,10378.0
6416.977275086124,10378.0
6416.979331732686,10378.0
6416.981388379248,10378.0
6416.983445025809,10379.0
6416.98550167237,10379.0
6416.987558318932,10379.0
6416.989614965493,10379.0
6416.991671612055,10379.0
6416.993728258616,10379.0
6416.995784905178,10379.0
6416.99784155174,10379.0
6416.999898198301,10380.0
6417.001954844863,10380.0
6417.0040114914245,10380.0
6417.0060681379855,10380.0
6417.008124784547,10380.0
6417.010181431109,10380.0
6417.01223807767,10380.0
6417.014294724232,10380.0
6417.016351370794,10381.0
6417.018408017355,10381.0
6417.020464663917,10381.0
6417.022521310479,10381.0
6417.02457795704,10381.0
6417.026634603601,10381.0
6417.028691250163,10382.0
6417.030747896724,10382.0
6417.032804543286,10382.0
6417.034861189847,10382.0
6417.036917836409,10382.0
6417.038974482971,10382.0
6417.041031129532,10382.0
6417.043087776094,10382.0
6417.0451444226555,10382.0
6417.0472010692165,10382.0
6417.049257715778,10382.0
6417.05131436234,10382.0
6417.053371008901,10382.0
6417.055427655463,10382.0
6417.057484302025,10383.0
6417.059540948586,10383.0
6417.061597595148,10383.0
6417.06365424171,10383.0
6417.065710888271,10383.0
6417.0677675348325,10383.0
6417.069824181393,10383.0
6417.071880827955,10383.0
6417.073937474517,10383.0
6417.075994121078,10383.0
6417.07805076764,10383.0
6417.080107414202,10383.0
6417.082164060763,10383.0
6417.084220707325,10383.0
6417.0862773538865,10383.0
6417.0883340004475,10383.0
6417.090390647009,10383.0
6417.092447293571,10384.0
6417.094503940132,10384.0
6417.096560586694,10384.0
6417.098617233256,10384.0
6417.100673879817,10384.0
6417.102730526379,10384.0
6417.104787172941,10384.0
6417.106843819502,10385.0
6417.1089004660635,10385.0
6417.110957112624,10385.0
6417.113013759186,10385.0
6417.115070405748,10385.0
6417.117127052309,10385.0
6417.119183698871,10385.0
6417.121240345433,10385.0
6417.123296991994,10385.0
6417.125353638556,10386.0
6417.127410285118,10386.0
6417.1294669316785,10386.0
6417.13152357824,10386.0
6417.133580224802,10386.0
6417.135636871363,10386.0
6417.137693517925,10386.0
6417.139750164487,10386.0
6417.141806811048,10387.0
6417.14386345761,10387.0
6417.145920104171,10387.0
6417.147976750733,10387.0
6417.1500333972945,10387.0
6417.152090043855,10387.0
6417.154146690417,10387.0
6417.156203336979,10387.0
6417.15825998354,10388.0
6417.160316630102,10388.0
6417.162373276664,10388.0
6417.164429923225,10388.0
6417.166486569787,10388.0
6417.168543216349,10388.0
6417.1705998629095,10388.0
6417.172656509471,10389.0
6417.174713156033,10389.0
6417.176769802594,10389.0
6417.178826449156,10389.0
6417.180883095717,10389.0
6417.182939742279,10389.0
6417.184996388841,10389.0
6417.187053035402,10389.0
