LSL_Time,PLUX_P1_nSeq,PLUX_P1_ECG0,PLUX_P1_EMG1,PLUX_P1_EMG2,PLUX_P1_RESPIRATION3
7002.2904096181,1684808.0,0.032030001282691956,0.007400000002235174,0.03460000082850456,0.9231699705123901
7002.2914093903155,1684809.0,0.02889000065624714,0.012489999644458294,0.023479999974370003,0.9157099723815918
7002.292409162531,1684810.0,0.02525000087916851,0.011219999752938747,-0.003860000055283308,0.9224399924278259
7002.2934089347455,1684811.0,0.022369999438524246,0.005900000222027302,-0.006680000107735395,0.9160799980163574
7002.294408706961,1684812.0,0.020390000194311142,-0.005489999894052744,0.009990000165998936,0.9182299971580505
7002.295408479176,1684813.0,0.02022000029683113,-0.00795000046491623,0.0030400000978261232,0.9143800139427185
7002.296408251392,1684814.0,0.019990000873804092,-0.018850000575184822,0.003449999960139394,0.9143800139427185
7002.297408023607,1684815.0,0.021199999377131462,-0.021479999646544456,0.010940000414848328,0.9136499762535095
7002.298407795823,1684816.0,0.02507000043988228,-0.012400000356137753,0.0014100000262260437,0.9121400117874146
7002.299407568037,1684817.0,0.029650000855326653,-0.00839999970048666,-0.016620000824332237,0.9117299914360046
7002.300407340253,1684818.0,0.03305999934673309,-0.0027699999045580626,-0.01561999972909689,0.910539984703064
7002.301407112468,1684819.0,0.033240001648664474,-0.0034099998883903027,-0.0062699997797608376,0.9053599834442139
7002.3024068846835,1684820.0,0.03338000178337097,-0.004000000189989805,-0.014580000191926956,0.908519983291626
7002.303406656899,1684821.0,0.0370200015604496,-0.0008200000156648457,-0.015209999866783619,0.9046800136566162
7002.304406429113,1684822.0,0.037379998713731766,0.005400000140070915,-0.020390000194311142,0.9045000076293945
7002.305406201329,1684823.0,0.032930001616477966,0.012900000438094139,-0.00494999997317791,0.9039499759674072
7002.306405973544,1684824.0,0.0258799996227026,0.011939999647438526,-0.005630000028759241,0.9015700221061707
7002.30740574576,1684825.0,0.017160000279545784,0.010219999589025974,0.0045900000259280205,0.8992800116539001
7002.308405517975,1684826.0,0.00547999981790781,0.007079999893903732,0.014209999702870846,0.8997300267219543
7002.309405290191,1684827.0,-0.006870000157505274,-0.004769999999552965,0.027380000799894333,0.8954300284385681
7002.310405062405,1684828.0,-0.02012999914586544,-0.011309999972581863,0.010900000110268593,0.8985400199890137
7002.311404834621,1684829.0,-0.03432000055909157,-0.008449999615550041,0.006039999891072512,0.8923599720001221
