Time,Amplitude_Envelope_P1,Amplitude_Envelope_P2,Filtered_ECG_P1,Filtered_ECG_P2,Filtered_Respiration_P1,Filtered_Respiration_P2,Filtered_EMG_Bicep_P1,Filtered_EMG_Tricep_P1,Filtered_EMG_Bicep_P2,Filtered_EMG_Tricep_P2,right_index_x_P1,right_index_y_P1,right_index_z_P1,right_index_x_P2,right_index_y_P2,right_index_z_P2,ConditionVision,ConditionMovement,Trial
0.039,0.006483023588160038,0.007997072766566856,75.54636208292115,63.69990268070424,0.1062415011013662,12.825509318131186,0.004718356671992459,0.004097152219434395,0.00830029358008943,0.004747559321451144,-595.128553834137,3586.85667821103,612.4164401228676,442.7005977589133,3428.5954576768127,-90.6613890746756,Vision,Movement,2
0.04,0.0064826122186300555,0.008004850301747917,75.54636208292115,63.69990268070424,0.10672481659256122,12.825064192520985,0.004718537865209178,0.00408935401625223,0.008434953106548253,0.0047084853256218724,-595.1746562693438,3586.9844673492153,612.4438877500259,442.47623752942104,3428.554975798788,-90.46485823710942,Vision,Movement,2
0.041,0.006482209236142146,0.008011680806846236,75.54636208292115,63.69990268070424,0.10720934029065786,12.824601462623741,0.004726638077935854,0.00409128170715903,0.008624163075930114,0.004677383717767351,-595.2207587045506,3587.1122564874004,612.4713353771841,442.2518772999288,3428.514493920763,-90.26832739954324,Vision,Movement,2
0.042,0.006481815456723545,0.008017617602149451,75.54636208292115,63.69990268070424,0.10769506867985518,12.824121034360006,0.00474285941706737,0.004102305057005822,0.008866516539286476,0.004653770238124653,-595.2668611397573,3587.2400456255855,612.4987830043424,442.02751707043655,3428.474012042738,-90.07179656197707,Vision,Movement,2
0.043000000000000003,0.0064814315920162305,0.00802271312395751,75.54636208292115,63.69990268070424,0.10818199821819537,12.823622813689033,0.004767293050816849,0.004121703664685331,0.009159775958904921,0.00463702763487552,-595.3129635749641,3587.3678347637706,612.5262306315007,441.80315684094427,3428.4335301647134,-89.87526572441088,Vision,Movement,2
0.044,0.006481058255412488,0.008027018571238812,75.54636208292115,63.69990268070424,0.1086701253380786,12.823106706612233,0.004799916365747902,0.004148686023188132,0.009500897690138215,0.004626419316401883,-595.3590660101709,3587.4956239019557,612.5536782586588,441.57879661145205,3428.393048286688,-89.67873488684471,Vision,Movement,2
0.045,0.006480695968035397,0.00803058370973714,75.54636208292115,63.69990268070424,0.10915944644634787,12.822572619173895,0.004840591692900095,0.004182407753841178,0.009886069850621418,0.004621105586879533,-595.4051684453776,3587.623413040141,612.5811258858171,441.3544363819598,3428.3525664086633,-89.48220404927854,Vision,Movement,2
0.046,0.006480345164556524,0.008033456873866415,75.54636208292115,63.69990268070424,0.10964995792478947,12.822020457466595,0.004889066732849174,0.004221988579320609,0.01031076337250401,0.004620162398967706,-595.4472397952528,3587.7399219138597,612.6135790122895,441.12640249250336,3428.3251167867857,-89.2594934399092,Vision,Movement,2
0.047,0.006480006198840904,0.008035685155170579,75.54636208292115,63.69990268070424,0.1101416561280521,12.821450127631925,0.004944976711666854,0.004266527725269372,0.010769795688850808,0.004622602445269205,-595.4879943721785,3587.8527460362293,612.6476672086138,440.8914065301239,3428.3223650189643,-88.98716869036862,Vision,Movement,2
0.048,0.006479679349413159,0.008037314351005138,75.54636208292115,63.69990268070424,0.11063453738853346,12.820861535863555,0.005007848278178675,0.004315117580036296,0.011257406135170895,0.004627398245110694,-595.528748949104,3587.9655701585993,612.6817554049381,440.65641056774444,3428.319613251143,-88.71484394082803,Vision,Movement,2
0.049,0.006479364824740396,0.008038388878602924,75.54636208292115,63.69990268070424,0.1111285980103131,12.820254588409867,0.005077105148236344,0.004366855590356157,0.01176734178934717,0.004633506727160982,-595.5695035260296,3588.078394280969,612.7158436012626,440.42141460536493,3428.316861483322,-88.44251919128743,Vision,Movement,2
0.05,0.006479062768324827,0.008038951740686523,75.54636208292115,63.69990268070424,0.11162383427409278,12.8196291915771,0.005152075475055685,0.004420854546039625,0.012292952108026736,0.004639894718510143,-595.6102581029553,3588.191218403339,612.7499317975869,440.1864186429855,3428.3141097155008,-88.17019444174684,Vision,Movement,2
0.051000000000000004,0.006478773263605889,0.00803904424528734,75.54636208292115,63.69990268070424,0.11212024243549487,12.818985251729726,0.00523200086518429,0.004476251552469295,0.012827290385119157,0.004645564726687816,-595.6510126798809,3588.3040425257086,612.7840199939112,439.951422680606,3428.3113579476794,-87.89786969220626,Vision,Movement,2
