Time,Amplitude_Envelope_P1,Amplitude_Envelope_P2,Filtered_ECG_P1,Filtered_ECG_P2,Filtered_Respiration_P1,Filtered_Respiration_P2,Filtered_EMG_Bicep_P1,Filtered_EMG_Tricep_P1,Filtered_EMG_Bicep_P2,Filtered_EMG_Tricep_P2,right_index_x_P1,right_index_y_P1,right_index_z_P1,right_index_x_P2,right_index_y_P2,right_index_z_P2,ConditionVision,ConditionMovement,Trial
0.0,0.0166612095929374,0.0085890623267235,84.01008120974518,63.8637573177222,-0.1083400155675309,0.9671377131557036,0.00337032284509,0.0017771842252776,0.0030619051222215,0.0037255190209125,-602.4515302107131,3688.573835476316,-37.08014659532606,596.0511408359647,3455.67692927133,-257.7511311099665,Vision,NoMovement,0
0.001,0.016663341982863372,0.008589062327597796,84.01008120974518,63.8637573177222,-0.10864950998668522,0.9825354629229993,0.0033797283379490084,0.0018186499589329754,0.003039404617550974,0.003721717000979539,-602.4179244009912,3688.681885107326,-37.09341538223252,595.9828957357242,3455.4261396953702,-257.70026034920716,Vision,NoMovement,0
0.002,0.016665454554702797,0.008589062328048198,84.01008120974518,63.8637573177222,-0.1089597230232261,0.9979799180766741,0.0033886472767716857,0.0018597267577936966,0.00301592533415858,0.003718632210823323,-602.3843185912691,3688.789934738336,-37.10668416913899,595.9146506354838,3455.1753501194107,-257.6493895884479,Vision,NoMovement,0
0.003,0.016667539107277876,0.008589062328033303,84.01008120974518,63.8637573177222,-0.10927065170809067,1.0134709517590526,0.003396998216116592,0.0019001789722456117,0.0029917052998661205,0.003716146068790775,-602.3507127815471,3688.8979843693455,-37.119952956045445,595.8464055352433,3454.9245605434508,-257.59851882768857,Vision,NoMovement,0
0.004,0.016669588172387506,0.008589062327510215,84.01008120974518,63.8637573177222,-0.10958229305489726,1.029008435848814,0.003404701534617006,0.0019397911711895761,0.0029670077799613752,0.0037141108338642572,-602.3171069718252,3689.006034000355,-37.13322174295191,595.7781604350027,3454.6737709674912,-257.5476480669293,Vision,NoMovement,0
0.005,0.01667159508452373,0.008589062326433635,84.01008120974518,63.8637573177222,-0.10989464405889941,1.0445922408782526,0.0034116793500988006,0.001978373664102227,0.0029421177396542104,0.003712351581149324,-602.2835011621032,3689.114083631365,-37.14649052985837,595.7099153347623,3454.4229813915313,-257.49677730617,Vision,NoMovement,0
0.006,0.016673553789997107,0.008589062324756761,84.01008120974518,63.8637573177222,-0.11020770169735165,1.060222236091547,0.0034178552656754933,0.0020157678378751685,0.002917337433964984,0.003710669380873081,-602.2498953523811,3689.222133262375,-37.159759316764834,595.6416702345218,3454.1721918155718,-257.44590654541065,Vision,NoMovement,0
0.007,0.016675458916378658,0.008589062322430495,84.01008120974518,63.8637573177222,-0.11052146292931164,1.0758982894326126,0.003423153989780563,0.0020518512078287468,0.0028929811750186274,0.003708845679503698,-602.2162895426592,3689.3301828933845,-37.17302810367129,595.5734251342814,3453.921402239612,-257.3950357846514,Vision,NoMovement,0
0.008,0.01667730581044301,0.00858906231940434,84.01008120974518,63.8637573177222,-0.11083592469743306,1.0916202675328788,0.0034275008978130223,0.0020865420609333437,0.0028693693820605725,0.003706647807100236,-602.1826837329372,3689.438232524394,-37.18629689057776,595.5051800340409,3453.6706126636523,-257.34416502389206,Vision,NoMovement,0
0.009000000000000001,0.016679090595161716,0.00858906231562569,84.01008120974518,63.8637573177222,-0.11115108392405994,1.1073880357704424,0.0034308216705015745,0.0021198035591161266,0.002846822059852104,0.003703835455019304,-602.1490779232153,3689.546282155404,-37.199565677484216,595.4369349338004,3453.4198230876923,-257.2932942631328,Vision,NoMovement,0
