Time,Amplitude_Envelope_P1,Amplitude_Envelope_P2,Filtered_ECG_P1,Filtered_ECG_P2,Filtered_Respiration_P1,Filtered_Respiration_P2,Filtered_EMG_Bicep_P1,Filtered_EMG_Tricep_P1,Filtered_EMG_Bicep_P2,Filtered_EMG_Tricep_P2,ConditionVision,ConditionMovement,Trial
0.248,0.020137560698316025,0.013475672306898712,76.52364033889039,73.6196319018405,-0.3921829654223919,-0.033273128003624655,0.0030114750304708862,0.002468147049761379,0.003662253104012859,0.002380322056287072,Vision,Movement,1
0.249,0.020137659449860467,0.013476852353329263,76.52364033889039,73.6196319018405,-0.39217002717536137,-0.02354434243363299,0.0029278010658564634,0.0024743348674814494,0.003668074073196738,0.0024327416583695477,Vision,Movement,1
0.25,0.020137766569139903,0.013478047111565533,76.52364033889039,73.6196319018405,-0.3921550447932805,-0.01378889316875807,0.0028484277690684814,0.002479072815967137,0.003669407391330849,0.0024871296776950895,Vision,Movement,1
0.251,0.02013788239001368,0.01347925459994571,76.52364033889039,73.6196319018405,-0.3921380084598809,-0.0040068074612398105,0.002773892707350028,0.0024825144912965307,0.003666337612602929,0.0025426747291337716,Vision,Movement,1
0.252,0.020138007241622843,0.013480473071306648,76.52364033889039,73.6196319018405,-0.39211890836797814,0.0058018869873381175,0.0027046957103302634,0.002484841361805913,0.0036589977411007955,0.002598553404376511,Vision,Movement,1
0.253,0.02013814144658389,0.013481701047805088,76.52364033889039,73.6196319018405,-0.3920977347197528,0.015637162059023508,0.0026412948914840565,0.0024862586143648354,0.0036475656944407165,0.002653944368311907,Vision,Movement,1
0.254,0.020138285319042482,0.013482937353710537,76.52364033889039,73.6196319018405,-0.3920744777269675,0.025498989210081174,0.0025841024377720114,0.0024869903151707676,0.0036322603906650416,0.0027080428007676895,Vision,Movement,1
0.255,0.020138439162580693,0.01348418076331766,76.52364033889039,73.6196319018405,-0.3920491276111942,0.03538733945870181,0.002533480368623422,0.0024872740326616375,0.0036133374550174073,0.002760074946389989,Vision,Movement,1
0.256,0.020138603267974082,0.013485429059500934,76.52364033889039,73.6196319018405,-0.39202167460402343,0.04530218345309513,0.002489736482179877,0.002487355083749242,0.0035910844663329103,0.002809312494664984,Vision,Movement,1
0.257,0.02013877791079333,0.013486679559379383,76.52364033889039,73.6196319018405,-0.39199210894738484,0.0552434913429953,0.0024531206835539513,0.0024874805910727847,0.0035658156623298233,0.0028550864927401084,Vision,Movement,1
0.258,0.020138963348845542,0.013487929595752434,76.52364033889039,73.6196319018405,-0.3919604208936358,0.0652112328953952,0.0024238218554411962,0.0024878935652112885,0.003537866085409343,0.0028968004989707538,Vision,Movement,1
0.259,0.02013915981945213,0.013489176589826358,76.52364033889039,73.6196319018405,-0.391926600705884,0.07520537744418311,0.0024019654071201373,0.0024888272327175357,0.003507585237844705,0.002933942688915042,Vision,Movement,1
0.26,0.02013936753655809,0.013490418014654244,76.52364033889039,73.6196319018405,-0.39189063865819196,0.08522589389814875,0.00238761161848646,0.0024904998109468745,0.003475330382774902,0.0029660966251582417,Vision,Movement,1
0.261,0.02013958668766885,0.013491651374263383,76.52364033889039,73.6196319018405,-0.3918525250357799,0.09527275073459754,0.002380754871201483,0.00249310990043281,0.0034414596720605617,0.002992950374143726,Vision,Movement,1
0.262,0.02013981743061334,0.01349287398878523,76.52364033889039,73.6196319018405,-0.3918122501353782,0.10534591603062432,0.0023813238195370405,0.002496832644287956,0.0034063253099055717,0.0030143036139001467,Vision,Movement,1
0.263,0.020140059890127265,0.01349408318531292,76.52364033889039,73.6196319018405,-0.3917698042652641,0.11544535741372834,0.0023891825098697,0.002501816787558644,0.003370266972893484,0.003030072361399154,Vision,Movement,1
0.264,0.020140314154256902,0.013495276186742377,76.52364033889039,73.6196319018405,-0.39172517774562077,0.12557104209521291,0.0024041324246824427,0.002508182737333055,0.003333605688789145,0.003040291005197748,Vision,Movement,1
