Time,Filtered_ECG
6772.834991755268,0.003161957701408285
6772.83599152719,0.003187527313646005
6772.836991299113,0.003212580331728363
6772.837991071036,0.003237114151968993
6772.838990842958,0.003261126176423175
6772.839990614881,0.0032846138135984642
6772.840990386804,0.0033075744792264426
6772.841990158727,0.003330005597095134
6772.842989930649,0.003351904599941622
6772.843989702572,0.0033732689304043903
6772.844989474495,0.003394096042034941
6772.845989246418,0.0034143834003683036
6772.8469890183405,0.003434128484052076
6772.847988790263,0.003453328786033695
6772.848988562186,0.0034719818148056646
6772.849988334108,0.0034900850957084685
6772.850988106032,0.0035076361722908653
6772.851987877954,0.003524632607727224
6772.852987649877,0.003541071986291461
6772.8539874218,0.003556951914887071
6772.854987193722,0.003572270024632653
6772.855986965646,0.0035870239725022506
6772.856986737568,0.003601211443019786
6772.857986509491,0.003614830150006773
6772.858986281413,0.003627877838382478
6772.859986053336,0.0036403522860156503
6772.8609858252585,0.003652251305626906
6772.861985597182,0.0036635727467408553
6772.8629853691045,0.003674314497687014
6772.863985141027,0.0036844744876485505
6772.86498491295,0.003694050688757826
6772.865984684872,0.0037030411182376348
6772.866984456796,0.003711443840586947
6772.867984228718,0.0037192569698098425
6772.868984000641,0.0037264786716862293
6772.869983772564,0.0037331071660828465
6772.870983544486,0.003739140729302976
6772.87198331641,0.003744577696473216
6772.872983088332,0.003749416463965593
6772.873982860255,0.0037536554918532203
6772.874982632177,0.003757293306397642
6772.8759824041,0.0037603285025659323
6772.876982176023,0.0037627597465755384
6772.877981947946,0.0037645857784648212
6772.8789817198685,0.0037658054146871662
6772.879981491791,0.0037664175507264846
6772.880981263714,0.0037664211637318807
6772.881981035636,0.0037658153151692237
6772.88298080756,0.0037645991534873157
6772.883980579482,0.003762771916796345
6772.884980351405,0.003760332935556303
6772.885980123328,0.003757281635273069
6772.88697989525,0.0037536175391998656
6772.887979667174,0.0037493402710417852
6772.888979439096,0.0037444495576610414
6772.889979211019,0.0037389452317805614
6772.890978982941,0.003732827234683471
6772.891978754864,0.0037260956189059387
6772.8929785267865,0.003718750550920784
6772.89397829871,0.003710792313809195
6772.8949780706325,0.003702221309917804
6772.895977842555,0.003693038063498325
6772.896977614478,0.003683243223326825
6772.8979773864,0.0036728375652996534
6772.898977158324,0.003661821995002961
6772.899976930246,0.003650197550252658
6772.900976702169,0.0036379654036016304
6772.901976474092,0.003625126864810976
6772.902976246014,0.003611683383281994
6772.903976017938,0.003597636550445641
6772.90497578986,0.003582988102106164
6772.905975561783,0.0035677399207355996
6772.906975333705,0.003551894037715835
6772.907975105628,0.0035354526355249297
6772.908974877551,0.003518418049864427
6772.909974649474,0.0035007927717243858
6772.9109744213965,0.0034825794493829527
6772.911974193319,0.0034637808903373504
6772.912973965242,0.0034444000631632943
6772.913973737164,0.003424440099299948
6772.914973509088,0.003403904294757663
6772.91597328101,0.003382796111745849
6772.916973052933,0.0033611191802184206
6772.917972824856,0.0033388772993343464
6772.918972596778,0.0033160744388309083
6772.919972368702,0.0032927147403073115
6772.920972140624,0.003268802518416383
6772.921971912547,0.003244342261962124
6772.922971684469,0.003219338634900941
6772.923971456392,0.0031937964772443925
6772.9249712283145,0.0031677208058613453
6772.925971000238,0.0031411168151774366
6772.9269707721605,0.003113989877769793
6772.927970544083,0.0030863455448549852
6772.928970316006,0.0030581895466682565
6772.929970087928,0.003029527792732119
6772.930969859852,0.003000366372012479
6772.931969631774,0.0029707115529605424
6772.932969403697,0.0029405697834388313
6772.93396917562,0.0029099476905297857
6772.934968947542,0.0028788520802255427
6772.935968719466,0.0028472899369976325
6772.936968491388,0.002815268423245475
6772.937968263311,0.002782794878622725
6772.938968035233,0.0027498768192406554
6772.939967807156,0.0027165219367479222
6772.940967579079,0.0026827380972862034
6772.941967351002,0.0026485333403213508
6772.9429671229245,0.002613915877349827
6772.943966894847,0.0025788940904803307
6772.94496666677,0.0025434765308906294
6772.945966438692,0.0025076719171597548
6772.946966210616,0.0024714891334758305
6772.947965982538,0.002434937227719924
6772.948965754461,0.0023980254094264253
6772.949965526384,0.0023607630476205933
6772.950965298306,0.0023231596685340467
6772.95196507023,0.0022852249531991123
6772.952964842152,0.0022469687349230775
6772.953964614075,0.0022084009966435113
6772.954964385997,0.0021695318681659243
6772.95596415792,0.0021303716232851256
6772.956963929843,0.002090930676791722
6772.957963701766,0.002051219581365289
6772.9589634736885,0.0020112490243558473
6772.959963245611,0.0019710298244553846
6772.960963017534,0.0019305729282613126
6772.961962789457,0.0018898894067338832
6772.96296256138,0.0018489904515497722
6772.963962333302,0.001807887371354204
6772.964962105225,0.001766591587914167
6772.965961877148,0.0017251146321754411
6772.96696164907,0.0016834681402262946
6772.967961420994,0.001641663849170846
6772.968961192916,0.0015997135929151877
6772.969960964839,0.001557629297869455
6772.970960736761,0.0015154229785691185
6772.971960508684,0.0014731067332188381
6772.972960280607,0.0014306927391623005
6772.97396005253,0.001388193248281511
6772.9749598244525,0.0013456205823290876
6772.975959596375,0.001302987128197163
6772.976959368298,0.0012603053331265788
6772.97795914022,0.0012175876998601104
6772.978958912144,0.0011748467817435178
6772.979958684066,0.0011320951777782434
6772.980958455989,0.0010893455276295917
6772.981958227912,0.0010466105065942235
6772.982957999834,0.0010039028205307738
6772.983957771758,0.0009612352007573725
6772.98495754368,0.0009186203989197996
6772.985957315603,0.0008760711818339767
6772.986957087525,0.0008336003263064582
6772.987956859448,0.0007912206139365817
6772.988956631371,0.0007489448259039245
6772.989956403294,0.0007067857377447054
6772.9909561752165,0.0006647561141207623
6772.991955947139,0.0006228687035847117
6772.992955719062,0.0005811362333448651
6772.993955490985,0.0005395714040334296
6772.994955262908,0.0004981868844814546
6772.99595503483,0.00045699530650389824
6772.996954806753,0.0004160092596980791
6772.997954578676,0.0003752412862586628
6772.998954350598,0.00033470387581221664
6772.999954122522,0.000294409460274261
6773.000953894444,0.00025437040873166057
6773.001953666367,0.00021459902235312434
6773.002953438289,0.0001751075293305123
6773.003953210212,0.00013590807985357914
6773.004952982135,9.701274112071668e-05
6773.005952754058,5.8433492388195654e-05
6773.0069525259805,2.0182220060356135e-05
6773.007952297903,-1.7729287176840087e-05
6773.008952069826,-5.528934317650811e-05
6773.009951841748,-9.248636910342451e-05
6773.010951613672,-0.00012930889815615537
6773.011951385594,-0.00016574558023640847
6773.012951157517,-0.00020178518656331325
6773.01395092944,-0.0002374166142303565
6773.014950701363,-0.0002726288907027317
6773.015950473286,-0.00030741117825289584
6773.016950245208,-0.0003417527783321675
6773.017950017131,-0.00037564313587624656
6773.018949789053,-0.0004090718435425929
6773.019949560976,-0.00044202864587766707
6773.020949332899,-0.0004745034434121193
6773.021949104822,-0.0005064862966820989
6773.0229488767445,-0.0005379674301749412
6773.023948648667,-0.0005689372361975623
6773.02494842059,-0.0005993862786659557
6773.025948192513,-0.0006293052968142294
6773.026947964436,-0.0006586852088216589
6773.027947736358,-0.0006875171153562596
6773.028947508281,-0.0007157923030334107
6773.029947280204,-0.0007435022477880906
6773.030947052126,-0.0007706386181593178
6773.03194682405,-0.000797193278485429
6773.032946595972,-0.0008231582920088732
6773.033946367895,-0.0008485259238892505
6773.034946139817,-0.0008732886441233794
6773.03594591174,-0.0008974391303712363
6773.036945683663,-0.0009209702706866676
6773.037945455586,-0.0009438751661518242
6773.0389452275085,-0.0009661471334143181
